date,year,month,collisions,fatalities,serious_injuries,moderate_injuries,minor_injuries,total_injuries,weekend_collisions,weekend_fatalities,weekend_total_injuries,weekend_collision_share,weekend_fatality_share,weekend_injury_share,night_collisions,night_fatalities,night_total_injuries,peak_collisions,peak_fatalities,peak_total_injuries,night_collision_share,night_fatality_share,peak_collision_share,injuries_per_collision,fatalities_per_collision
2008-01-01,2008,1,4536.0,161.0,688.0,479.0,3904.0,5071.0,1199.0,59.0,1469.0,0.26432980599647266,0.36645962732919257,0.2896864523762572,782.0,43.0,1010.0,1753.0,61.0,1925.0,0.17239858906525574,0.2670807453416149,0.38646384479717816,1.1179453262786596,0.035493827160493825
2008-02-01,2008,2,4024.0,148.0,589.0,493.0,3416.0,4498.0,1238.0,61.0,1567.0,0.3076540755467197,0.41216216216216217,0.34837705646954203,792.0,56.0,939.0,1503.0,52.0,1652.0,0.19681908548707752,0.3783783783783784,0.3735089463220676,1.11779324055666,0.036779324055666
2008-03-01,2008,3,4758.0,148.0,644.0,435.0,3525.0,4604.0,1497.0,69.0,1613.0,0.3146279949558638,0.46621621621621623,0.3503475238922676,738.0,56.0,803.0,1990.0,30.0,1959.0,0.15510718789407313,0.3783783783783784,0.4182429592265658,0.9676334594367382,0.031105506515342583
2008-04-01,2008,4,4910.0,164.0,605.0,445.0,3635.0,4685.0,1369.0,76.0,1459.0,0.27881873727087575,0.4634146341463415,0.3114194236926361,687.0,44.0,793.0,2102.0,64.0,1985.0,0.13991853360488798,0.2682926829268293,0.42810590631364565,0.9541751527494908,0.03340122199592668
2008-05-01,2008,5,5032.0,184.0,672.0,472.0,3692.0,4836.0,1462.0,73.0,1576.0,0.2905405405405405,0.3967391304347826,0.32588916459884204,800.0,60.0,844.0,2104.0,74.0,2034.0,0.1589825119236884,0.32608695652173914,0.41812400635930047,0.9610492845786963,0.03656597774244833
2008-06-01,2008,6,4923.0,172.0,665.0,420.0,3433.0,4518.0,1498.0,72.0,1528.0,0.3042860044688198,0.4186046511627907,0.3382027445772466,769.0,51.0,738.0,2177.0,84.0,2035.0,0.15620556571196426,0.29651162790697677,0.4422100345317896,0.9177330895795247,0.034938045906967294
2008-07-01,2008,7,4833.0,152.0,562.0,359.0,3374.0,4295.0,1326.0,62.0,1292.0,0.2743637492240844,0.40789473684210525,0.3008149010477299,793.0,51.0,779.0,1960.0,56.0,1812.0,0.16408028139871716,0.3355263157894737,0.40554521001448374,0.888681978067453,0.031450444858266084
2008-08-01,2008,8,5187.0,138.0,658.0,431.0,3865.0,4954.0,1584.0,65.0,1570.0,0.30537883169462116,0.47101449275362317,0.3169156237383932,818.0,26.0,817.0,2189.0,54.0,2219.0,0.15770194717563138,0.18840579710144928,0.42201657991131675,0.9550800077115866,0.026604973973395025
2008-09-01,2008,9,4599.0,137.0,577.0,397.0,3299.0,4273.0,1126.0,58.0,1173.0,0.24483583387692975,0.4233576642335766,0.2745143926983384,717.0,36.0,733.0,1927.0,51.0,1765.0,0.15590345727332028,0.26277372262773724,0.41900413133289843,0.929115025005436,0.02978908458360513
2008-10-01,2008,10,4643.0,125.0,583.0,370.0,3360.0,4313.0,1183.0,48.0,1227.0,0.25479216024122336,0.384,0.284488754926965,672.0,44.0,702.0,1883.0,41.0,1796.0,0.14473400818436355,0.352,0.4055567520999354,0.9289252638380358,0.02692224854619858
2008-11-01,2008,11,4669.0,119.0,622.0,404.0,3392.0,4418.0,1570.0,63.0,1678.0,0.33626044120796744,0.5294117647058824,0.37980986871887734,790.0,46.0,826.0,1882.0,35.0,1785.0,0.16920111372884986,0.3865546218487395,0.40308417219961445,0.9462411651317199,0.025487256371814093
2008-12-01,2008,12,4973.0,134.0,623.0,414.0,3784.0,4821.0,1354.0,58.0,1425.0,0.2722702594007641,0.43283582089552236,0.2955818294959552,876.0,51.0,963.0,1900.0,43.0,1785.0,0.17615121656947516,0.3805970149253731,0.38206314096119043,0.9694349487231048,0.026945505730947113
2009-01-01,2009,1,4725.0,152.0,695.0,440.0,3876.0,5011.0,1304.0,58.0,1514.0,0.275978835978836,0.3815789473684211,0.3021353023348633,877.0,50.0,1048.0,1749.0,53.0,1889.0,0.1856084656084656,0.32894736842105265,0.37015873015873013,1.0605291005291004,0.03216931216931217
2009-02-01,2009,2,4095.0,170.0,579.0,422.0,3430.0,4431.0,1237.0,72.0,1453.0,0.30207570207570206,0.4235294117647059,0.32791694877002936,743.0,53.0,859.0,1534.0,44.0,1785.0,0.18144078144078143,0.31176470588235294,0.3746031746031746,1.082051282051282,0.04151404151404151
2009-03-01,2009,3,4944.0,122.0,572.0,408.0,3567.0,4547.0,1402.0,42.0,1509.0,0.2835760517799353,0.3442622950819672,0.3318671651638443,748.0,41.0,725.0,2115.0,39.0,1938.0,0.15129449838187703,0.3360655737704918,0.42779126213592233,0.919700647249191,0.024676375404530743
2009-04-01,2009,4,4705.0,126.0,533.0,369.0,3342.0,4244.0,1237.0,37.0,1224.0,0.2629117959617428,0.29365079365079366,0.2884071630537229,685.0,42.0,663.0,2023.0,51.0,1844.0,0.14558979808714134,0.3333333333333333,0.4299681190223167,0.90201912858661,0.026780021253985122
2009-05-01,2009,5,4891.0,137.0,611.0,377.0,3522.0,4510.0,1634.0,56.0,1543.0,0.33408300960948684,0.40875912408759124,0.34212860310421284,854.0,40.0,822.0,1966.0,59.0,1862.0,0.1746064199550194,0.291970802919708,0.4019627887957473,0.9221018196687794,0.02801063177264363
2009-06-01,2009,6,4710.0,120.0,483.0,299.0,3131.0,3913.0,1273.0,50.0,1023.0,0.270276008492569,0.4166666666666667,0.2614362381804242,709.0,35.0,565.0,2012.0,45.0,1770.0,0.1505307855626327,0.2916666666666667,0.42717622080679407,0.8307855626326964,0.025477707006369428
2009-07-01,2009,7,4393.0,109.0,505.0,331.0,3218.0,4054.0,1186.0,47.0,1113.0,0.2699749601638971,0.43119266055045874,0.2745436605821411,686.0,30.0,696.0,1810.0,44.0,1671.0,0.15615752333257454,0.27522935779816515,0.41201912132938767,0.9228317778283633,0.02481220122922832
2009-08-01,2009,8,4775.0,129.0,484.0,359.0,3507.0,4350.0,1521.0,55.0,1451.0,0.3185340314136126,0.4263565891472868,0.3335632183908046,727.0,40.0,685.0,2059.0,50.0,1969.0,0.15225130890052355,0.31007751937984496,0.4312041884816754,0.9109947643979057,0.02701570680628272
2009-09-01,2009,9,4645.0,126.0,561.0,329.0,3248.0,4138.0,1190.0,44.0,1177.0,0.25618945102260493,0.3492063492063492,0.2844369260512325,691.0,41.0,706.0,1951.0,44.0,1769.0,0.14876210979547902,0.3253968253968254,0.420021528525296,0.8908503767491927,0.0271259418729817
2009-10-01,2009,10,4683.0,99.0,562.0,314.0,3303.0,4179.0,1467.0,51.0,1460.0,0.31326073030108903,0.5151515151515151,0.34936587700406796,682.0,26.0,668.0,1872.0,34.0,1627.0,0.14563314114883621,0.26262626262626265,0.3997437540038437,0.8923766816143498,0.02114029468289558
2009-11-01,2009,11,4640.0,92.0,542.0,355.0,3263.0,4160.0,1415.0,37.0,1415.0,0.30495689655172414,0.40217391304347827,0.3401442307692308,749.0,34.0,738.0,1932.0,31.0,1653.0,0.16142241379310346,0.3695652173913043,0.4163793103448276,0.896551724137931,0.019827586206896553
2009-12-01,2009,12,5124.0,126.0,621.0,374.0,3643.0,4638.0,1306.0,43.0,1303.0,0.25487900078064013,0.3412698412698413,0.2809400603708495,881.0,48.0,872.0,2009.0,38.0,1800.0,0.171935987509758,0.38095238095238093,0.39207650273224043,0.905152224824356,0.02459016393442623
2010-01-01,2010,1,4628.0,136.0,584.0,365.0,3610.0,4559.0,1408.0,65.0,1634.0,0.30423509075194466,0.47794117647058826,0.35841193244132485,822.0,60.0,819.0,1813.0,34.0,1780.0,0.17761452031114952,0.4411764705882353,0.39174589455488334,0.9850907519446845,0.029386343993085567
2010-02-01,2010,2,4137.0,134.0,599.0,379.0,3451.0,4429.0,1170.0,59.0,1368.0,0.2828136330674402,0.44029850746268656,0.308873334838564,676.0,48.0,839.0,1596.0,39.0,1643.0,0.16340343243896543,0.3582089552238806,0.38578680203045684,1.0705825477399082,0.03239062122310853
2010-03-01,2010,3,4850.0,108.0,569.0,336.0,3373.0,4278.0,1246.0,33.0,1164.0,0.2569072164948454,0.3055555555555556,0.2720897615708275,687.0,28.0,620.0,2032.0,35.0,1850.0,0.14164948453608248,0.25925925925925924,0.41896907216494844,0.8820618556701031,0.0222680412371134
2010-04-01,2010,4,4928.0,140.0,600.0,335.0,3302.0,4237.0,1315.0,52.0,1236.0,0.2668425324675325,0.37142857142857144,0.29171583667689405,684.0,30.0,685.0,2161.0,61.0,1920.0,0.1387987012987013,0.21428571428571427,0.43851461038961037,0.8597808441558441,0.028409090909090908
2010-05-01,2010,5,5482.0,178.0,577.0,420.0,3956.0,4953.0,1827.0,80.0,1721.0,0.33327252827435244,0.449438202247191,0.34746618211185143,861.0,47.0,772.0,2299.0,70.0,2170.0,0.15705946734768333,0.2640449438202247,0.419372491791317,0.9035023713973003,0.03246990149580445
2010-06-01,2010,6,4899.0,144.0,569.0,376.0,3465.0,4410.0,1246.0,59.0,1224.0,0.25433761992243314,0.4097222222222222,0.27755102040816326,689.0,34.0,706.0,2167.0,68.0,1974.0,0.14064094713206776,0.2361111111111111,0.44233517044294757,0.9001837109614207,0.029393753827311696
2010-07-01,2010,7,4655.0,141.0,520.0,335.0,3296.0,4151.0,1240.0,48.0,1159.0,0.2663802363050483,0.3404255319148936,0.27920982895687785,690.0,38.0,606.0,1913.0,60.0,1808.0,0.14822771213748656,0.2695035460992908,0.41095596133190115,0.8917293233082707,0.03029001074113856
2010-08-01,2010,8,4643.0,122.0,495.0,323.0,3064.0,3882.0,1394.0,53.0,1297.0,0.30023691578720657,0.4344262295081967,0.33410613086038127,687.0,43.0,601.0,1929.0,48.0,1680.0,0.1479646780099074,0.3524590163934426,0.41546413956493644,0.8360973508507431,0.02627611458108981
2010-09-01,2010,9,4703.0,140.0,575.0,364.0,3270.0,4209.0,1211.0,39.0,1139.0,0.25749521581968954,0.2785714285714286,0.2706105963411737,689.0,36.0,652.0,1953.0,55.0,1725.0,0.14650223261747822,0.2571428571428571,0.4152668509462045,0.8949606634063364,0.02976823304273868
2010-10-01,2010,10,5032.0,119.0,616.0,363.0,3790.0,4769.0,1650.0,62.0,1706.0,0.3279014308426073,0.5210084033613446,0.3577269867896834,853.0,40.0,846.0,2045.0,45.0,1963.0,0.16951510333863276,0.33613445378151263,0.40639904610492844,0.9477344992050875,0.02364864864864865
2010-11-01,2010,11,4847.0,126.0,601.0,366.0,3521.0,4488.0,1403.0,43.0,1351.0,0.28945739632762535,0.3412698412698413,0.30102495543672014,758.0,41.0,770.0,2030.0,58.0,1958.0,0.1563853930266144,0.3253968253968254,0.4188157623272127,0.9259335671549412,0.025995461109964927
2010-12-01,2010,12,4942.0,107.0,594.0,359.0,3646.0,4599.0,1281.0,38.0,1371.0,0.25920679886685555,0.35514018691588783,0.29810828440965426,860.0,35.0,874.0,1906.0,34.0,1725.0,0.17401861594496154,0.32710280373831774,0.3856738162687171,0.9305949008498584,0.021651153379198707
2011-01-01,2011,1,5009.0,147.0,642.0,406.0,3890.0,4938.0,1723.0,73.0,1884.0,0.3439808344979038,0.4965986394557823,0.38153098420413123,893.0,49.0,867.0,1975.0,58.0,2068.0,0.1782790976242763,0.3333333333333333,0.3942902775004991,0.9858255140746656,0.029347175084847275
2011-02-01,2011,2,4416.0,131.0,581.0,408.0,3458.0,4447.0,1351.0,48.0,1509.0,0.30593297101449274,0.366412213740458,0.3393298853159433,887.0,48.0,944.0,1631.0,31.0,1594.0,0.2008605072463768,0.366412213740458,0.369338768115942,1.007019927536232,0.029664855072463768
2011-03-01,2011,3,5227.0,137.0,577.0,370.0,3687.0,4634.0,1383.0,63.0,1312.0,0.26458771762004973,0.45985401459854014,0.28312473025463963,760.0,49.0,714.0,2267.0,44.0,2035.0,0.14539889037688922,0.35766423357664234,0.4337095848479051,0.8865506026401377,0.026210063133728718
2011-04-01,2011,4,5333.0,150.0,576.0,340.0,3724.0,4640.0,1563.0,57.0,1405.0,0.29308081755109694,0.38,0.30280172413793105,835.0,37.0,733.0,2183.0,56.0,1880.0,0.1565722857678605,0.24666666666666667,0.4093380836302269,0.87005437839865,0.028126757922370148
2011-05-01,2011,5,5387.0,133.0,542.0,365.0,3439.0,4346.0,1634.0,46.0,1362.0,0.3033228141822907,0.3458646616541353,0.3133916244822826,832.0,43.0,677.0,2341.0,65.0,1955.0,0.15444588824948952,0.3233082706766917,0.4345646927789122,0.8067570076109152,0.02468906627065157
2011-06-01,2011,6,5575.0,131.0,485.0,334.0,3482.0,4301.0,1505.0,54.0,1317.0,0.2699551569506726,0.4122137404580153,0.30620785863752614,791.0,41.0,640.0,2404.0,62.0,1894.0,0.14188340807174887,0.31297709923664124,0.4312107623318386,0.7714798206278027,0.02349775784753363
2011-07-01,2011,7,5514.0,154.0,566.0,391.0,3692.0,4649.0,1772.0,72.0,1675.0,0.3213638012332245,0.4675324675324675,0.3602925360292536,921.0,39.0,795.0,2271.0,62.0,1965.0,0.16702937976060936,0.2532467532467532,0.411860718171926,0.843126586869786,0.02792890823358723
2011-08-01,2011,8,5393.0,134.0,524.0,322.0,3392.0,4238.0,1442.0,51.0,1141.0,0.26738364546634524,0.3805970149253731,0.2692307692307692,799.0,42.0,690.0,2261.0,41.0,1716.0,0.14815501576117188,0.31343283582089554,0.4192471722603375,0.7858334878546264,0.024847023919896162
2011-09-01,2011,9,5073.0,118.0,512.0,350.0,3280.0,4142.0,1409.0,57.0,1226.0,0.2777449241080229,0.4830508474576271,0.2959922742636408,812.0,35.0,734.0,2086.0,37.0,1717.0,0.16006307904592942,0.2966101694915254,0.41119653065247386,0.8164794007490637,0.02326039818647743
2011-10-01,2011,10,5339.0,120.0,570.0,426.0,3696.0,4692.0,1855.0,47.0,1754.0,0.3474433414497097,0.39166666666666666,0.37382779198635974,889.0,46.0,856.0,2061.0,39.0,1900.0,0.16651058250608727,0.38333333333333336,0.3860273459449335,0.8788162577261659,0.022476119123431355
2011-11-01,2011,11,4974.0,91.0,522.0,352.0,3381.0,4255.0,1324.0,29.0,1310.0,0.26618415761962205,0.31868131868131866,0.3078730904817861,724.0,28.0,719.0,2169.0,30.0,1773.0,0.145556895858464,0.3076923076923077,0.43606755126658625,0.855448331322879,0.0182951347004423
2011-12-01,2011,12,5594.0,127.0,627.0,390.0,3913.0,4930.0,1586.0,48.0,1499.0,0.2835180550589918,0.3779527559055118,0.30405679513184586,907.0,38.0,838.0,2279.0,46.0,2071.0,0.16213800500536288,0.2992125984251969,0.4074007865570254,0.8813013943510905,0.022702895959957097
