date,mop_available_last_total_passages,mop_available_expected3y_total_passages,mop_available_last_light_passages,mop_available_expected3y_light_passages,mop_available_last_heavy_passages,mop_available_expected3y_heavy_passages,mop_available_last_light_share,mop_available_expected3y_light_share,mop_available_last_plazas_used,mop_available_expected3y_plazas_used,mop_available_last_yoy,mop_available_expected3y_yoy,mop_available_last_rolling3,mop_available_expected3y_rolling3,anac_available_last_market_units,anac_available_expected3y_market_units,anac_available_last_suzuki_top20_units,anac_available_expected3y_suzuki_top20_units,anac_available_last_suzuki_top20_model_count,anac_available_expected3y_suzuki_top20_model_count,anac_available_last_suzuki_top20_market_share,anac_available_expected3y_suzuki_top20_market_share,anac_available_last_fleet_proxy_age_0_12m,anac_available_expected3y_fleet_proxy_age_0_12m,anac_available_last_fleet_proxy_age_13_36m,anac_available_expected3y_fleet_proxy_age_13_36m,anac_available_last_fleet_proxy_age_37_60m,anac_available_expected3y_fleet_proxy_age_37_60m,cmf_available_damaged_insured_vehicles,cmf_available_insured_vehicles,cmf_available_claim_rate,cmf_available_repair_delay_days,cmf_available_report_age_months
2025-05-01,290158.0,233848.33333333334,224458.0,177130.33333333334,65700.0,56718.0,0.7735716402787447,0.7570610061239446,4.0,4.0,0.09782333155507117,0.016363701575362415,316628.8333333333,253895.33333333334,27617.0,23337.0,1804.0,858.0,7.0,2.3333333333333335,0.0653220842234855,0.0555341303509448,15481.06,9571.333333333334,12580.96,10891.153333333334,12045.35,221.28333333333333,80664.0,2128128.0,0.037903735113677374,55.0,1.0
2025-06-01,260329.0,189594.66666666666,198885.0,145074.0,61444.0,44520.666666666664,0.7639755847408471,0.7675035124882856,4.0,4.0,0.049041138947207186,-0.11433844572714524,299029.3333333333,226379.55555555553,27617.0,22567.0,1816.0,688.0,7.0,2.3333333333333335,0.0657565991961473,0.0322151814596534,16055.34,9489.666666666666,12550.88,11310.08,13118.05,498.09999999999997,80664.0,2128128.0,0.037903735113677374,55.0,2.0
2025-07-01,233964.0,234378.33333333334,175191.0,178938.66666666666,58773.0,55439.666666666664,0.7487946863620044,0.7639966594038308,4.0,4.0,0.03972447505832677,-0.03327774049441723,261483.66666666666,219273.77777777775,27617.0,23051.0,1654.0,410.0,7.0,1.6666666666666667,0.0598906470652134,0.0,16406.18,9462.88,12567.8,11310.08,14204.35,869.8333333333334,80664.0,2128128.0,0.037903735113677374,55.0,3.0
2025-08-01,212499.0,221477.66666666666,161735.0,164397.66666666666,50764.0,57080.0,0.7611094640445367,0.7421183152824445,4.0,4.0,0.39125567143951456,-0.062464726703777486,235597.33333333334,215150.22222222222,27617.0,28314.0,1419.0,813.6666666666666,7.0,3.0,0.0513813955172538,0.0450307268489086,17084.34,9503.06,11994.4,11709.58,15340.8,1165.3500000000001,80664.0,2128128.0,0.037903735113677374,55.0,4.0
2025-09-01,237496.0,239391.66666666666,177818.0,183084.33333333334,59678.0,56307.333333333336,0.7487199784417422,0.7646861686787229,4.0,4.0,0.006752775505186381,-0.04629589257584821,227986.33333333334,231749.22222222225,27617.0,25503.0,1636.0,696.0,7.0,3.0,0.0592388746062208,0.0410539936478061,17482.22,9297.913333333332,13150.6,12037.64,15340.8,1638.2333333333333,80664.0,2128128.0,0.037903735113677374,55.0,5.0
2025-10-01,227675.0,259480.66666666666,173753.0,198732.0,53922.0,60748.666666666664,0.7631624025474909,0.765579889370987,4.0,4.0,0.04335174025616939,-0.02454237417700274,225890.0,240116.66666666666,27617.0,,1806.0,902.6666666666666,6.0,3.3333333333333335,0.0653945033855958,,18109.42,9259.693333333335,14246.64,12449.986666666664,15340.8,2065.7833333333333,80664.0,2128128.0,0.037903735113677374,55.0,6.0
2025-11-01,235396.0,257259.66666666666,178758.0,195894.66666666666,56638.0,61365.0,0.7593926829682748,0.7612737112768948,4.0,4.0,0.005699344618092628,-0.004027402003806579,233522.33333333334,252044.0,27617.0,28669.0,2093.0,760.6666666666666,6.0,3.0,0.075786653148423,0.02395630120952005,19140.38,8782.106666666667,15225.179999999998,12834.76,15340.8,2778.65,82697.0,2194573.0,0.03768250133397249,55.0,1.0
2025-12-01,252370.0,284019.8333333333,188331.0,224127.16666666666,64039.0,59892.666666666664,0.7462495542259381,0.7873735654853772,4.0,4.0,-0.013015354050481376,-0.02851459315171619,238480.33333333334,266920.05555555556,27617.0,13850.0,976.0,938.0,6.0,3.3333333333333335,0.0353405511098236,0.1106859205776173,18732.7,8506.4,16533.659999999996,13236.14,15340.8,3452.133333333333,82697.0,2194573.0,0.03768250133397249,55.0,2.0
2026-01-01,267554.0,332608.1666666667,205361.0,273227.3333333333,62193.0,59380.833333333336,0.7675497282791511,0.820070513643789,4.0,4.0,-0.018751810816857173,-0.022349189844956558,251773.33333333334,291295.8888888888,27617.0,26367.0,1118.0,924.3333333333334,6.0,3.6666666666666665,0.0404823116196545,0.052143585069346146,18795.42,9060.753333333332,17524.42,13573.286666666667,15340.8,3452.133333333333,82697.0,2194573.0,0.03768250133397249,55.0,3.0
2026-02-01,282035.0,298028.0,220396.0,245801.33333333334,61639.0,52226.666666666664,0.7814491109259489,0.8245744321810955,4.0,4.0,0.008514092414197538,0.10043709168185455,267319.6666666667,304885.3333333333,27617.0,25033.5,1398.0,919.3333333333334,6.0,4.0,0.0506209943150957,0.054645803765199605,18663.12,9305.1,18965.44,13800.14,15340.8,3816.5,82697.0,2194573.0,0.03768250133397249,55.0,4.0
