segment,sku_id,actual_total,forecast_total,absolute_error,signed_error,bias_pct,wmape,actual_volume_quartile
occasional,6942063J00000,1.0,6.0,5.0,5.0,500.0,500.0,Q1
occasional,71074M79M00C48,16.0,2.0,16.0,-14.0,-87.5,100.0,Q4
occasional,71091M843005PK,4.0,4.141178607940674,2.141178607940674,0.14117860794067383,3.5294651985168457,53.529465198516846,Q3
occasional,7171177K70799,12.0,3.3735036849975586,12.088584899902344,-8.626496315002441,-71.88746929168701,100.7382074991862,Q4
occasional,7171284A10W07,11.0,3.6015338379350936,10.780402685445253,-7.398466162064906,-67.25878329149914,98.00366077677504,Q4
occasional,7171584A00ZM2,0.0,6.319659233093262,6.319659233093262,6.319659233093262,,,Q1
occasional,7171754GA0000,0.0,3.6896915435791016,3.6896915435791016,3.6896915435791016,,,Q1
occasional,71740M50S00C48,6.0,4.67508556161608,10.67508556161608,-1.32491443838392,-22.081907306398666,177.91809269360132,Q3
occasional,71742M79G000PG,3.0,5.2106893658638,6.2106893658638,2.2106893658638,73.68964552879333,207.02297886212668,Q2
occasional,71744M53M00000,1.0,3.738196727119316,2.738196727119316,2.738196727119316,273.8196727119316,273.8196727119316,Q1
occasional,7175163J105PK,1.0,8.207718849182129,9.207718849182129,7.207718849182129,720.7718849182129,920.7718849182129,Q1
occasional,71751M67P005PK,5.0,1.3950594663619995,3.6049405336380005,-3.6049405336380005,-72.09881067276001,72.09881067276001,Q3
occasional,7178254P00000,4.0,4.314416767906806,4.314416767906806,0.31441676790680617,7.860419197670154,107.86041919767015,Q3
occasional,7178277KA05PK,24.0,4.0,22.0,-20.0,-83.33333333333333,91.66666666666667,Q4
occasional,7179154P00000,3.0,5.4716408252716064,8.471640825271606,2.4716408252716064,82.38802750905354,282.38802750905353,Q2
occasional,7181165DD1799,1.0,3.0400596857070923,2.0400596857070923,2.0400596857070923,204.00596857070923,204.00596857070923,Q1
occasional,7181172L10799,5.0,3.2474981546401978,3.0233954191207886,-1.7525018453598022,-35.050036907196045,60.46790838241577,Q3
occasional,71811M68P30799,14.0,12.126485288143158,10.746099650859833,-1.873514711856842,-13.382247941834587,76.7578546489988,Q4
occasional,72111M8440009E,14.0,4.68603253364563,18.68603253364563,-9.31396746635437,-66.52833904538836,133.47166095461165,Q4
occasional,7231282K00000,0.0,1.5248127579689026,1.5248127579689026,1.5248127579689026,,,Q1
occasional,72312M79M00000,13.0,2.0,13.0,-11.0,-84.61538461538461,100.0,Q4
occasional,7252261M00000,1.0,9.234331727027893,10.234331727027893,8.234331727027893,823.4331727027893,1023.4331727027893,Q1
occasional,7287078A33000,2.0,6.326305552990448,6.326305552990448,4.326305552990448,216.3152776495224,316.3152776495224,Q2
occasional,73820M55R60PSG,2.0,15.112005829811096,13.112005829811096,13.112005829811096,655.6002914905548,655.6002914905548,Q2
occasional,7382273R505PK,1.0,2.0,3.0,1.0,100.0,300.0,Q1
occasional,7382276J00ZCP,6.0,1.4089129567146301,6.028758108615875,-4.59108704328537,-76.5181173880895,100.47930181026459,Q3
occasional,76237M70F005PK,1.0,14.572811126708984,15.572811126708984,13.572811126708984,1357.2811126708984,1557.2811126708984,Q1
