sku_id,period_start,actual_units,segment,record_type,period_months,forecast_units,absolute_error,reliability_tier,planning_action,review_cadence,inventory_treatment,owner,block_number,champion_source,individual_rolling_3m_wmape_percent,category_wmape_percent,overall_wmape_percent,selected_model_key,last_actual_month,forecast_start,gap_months
0911912007000,2026-05-01,,occasional,future_forecast,3,10.062217691541656,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,1.0,,,,,block_sba,2026-04-01,2026-05-01,0.0
0911912007000,2026-08-01,,occasional,future_forecast,3,10.062217691541656,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,2.0,,,,,block_sba,2026-04-01,2026-05-01,0.0
0911912007000,2026-11-01,,occasional,future_forecast,3,10.062217691541656,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,3.0,,,,,block_sba,2026-04-01,2026-05-01,0.0
0911912007000,2027-02-01,,occasional,future_forecast,3,10.062217691541656,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,4.0,,,,,block_sba,2026-04-01,2026-05-01,0.0
0911912007000,2027-05-01,,occasional,future_forecast,3,10.062217691541656,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,5.0,,,,,block_sba,2026-04-01,2026-05-01,0.0
0911912007000,2027-08-01,,occasional,future_forecast,3,10.062217691541656,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,6.0,,,,,block_sba,2026-04-01,2026-05-01,0.0
09136M05078000,2026-05-01,,rare,future_forecast,3,0.5767418146133423,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
09136M05078000,2026-08-01,,rare,future_forecast,3,0.38423117995262146,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
09136M05078000,2026-11-01,,rare,future_forecast,3,0.3949775695800781,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
09136M05078000,2027-02-01,,rare,future_forecast,3,0.39057233929634094,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
