sku_id,block_count,actual_total,forecast_total,absolute_error,mean_block_absolute_error,block_naive_scale,block_wmape_percent,block_mase,tournament_cohort,abc_units_tier
17700M60M00000,6,4.0,10.016665935516357,6.016665935516357,1.0027776559193928,7.769230769230769,150.41664838790894,0.12907039135596146,recurring_a,A
17700M67L00000,6,9.0,11.411490440368652,8.589213371276855,1.4315355618794758,5.6923076923076925,95.4357041252984,0.25148597708693493,recurring_a,A
17700M67P00000,6,16.0,12.056416988372803,8.504793643951416,1.417465607325236,4.0,53.15496027469635,0.354366401831309,recurring_a,A
17700M79F02000,6,4.0,3.8158757090568542,3.717871844768524,0.6196453074614207,2.769230769230769,92.9467961192131,0.2237608054721797,recurring_b,B
17760M67P00000,6,10.0,9.050140142440796,4.628624677658081,0.7714374462763468,1.9230769230769231,46.28624677658081,0.4011474720637003,recurring_a,A
1781254G00000,6,23.0,8.527484774589539,14.472515225410461,2.4120858709017434,4.615384615384615,62.92397924091505,0.5226186053620444,recurring_a,A
17861M68P00000,6,14.0,10.815430283546448,10.08004605770111,1.6800076762835185,4.0,72.00032898357937,0.42000191907087964,recurring_a,A
17878M74L00000,6,13.0,9.129201054573059,10.05722439289093,1.6762040654818218,3.615384615384616,77.36326456069946,0.4636309117290145,recurring_a,A
17920M76M00000,6,42.0,14.64714789390564,27.406125783920288,4.567687630653381,7.076923076923077,65.25268043790545,0.6454341217227604,recurring_a,A
1793163J01000,6,16.0,4.201409935951233,14.187894225120544,2.3646490375200906,3.9166666666666665,88.6743389070034,0.6037401797923636,recurring_b,B
17931M71P00000,6,9.0,11.720097780227661,4.8659961223602295,0.810999353726705,4.384615384615385,54.06662358178033,0.18496476488503796,recurring_a,A
1793276G00000,6,7.0,3.8193325996398926,6.494870066642761,1.0824783444404602,2.6923076923076925,92.78385809489659,0.4020633850778852,recurring_b,B
27431M79F00000,6,16.0,13.56582522392273,9.936363935470581,1.6560606559117634,5.307692307692308,62.10227459669113,0.31201142792540465,recurring_a,A
2811380J015PK,6,12.0,10.309399962425232,7.655781626701355,1.2759636044502258,2.923076923076923,63.79818022251129,0.4365138646803404,recurring_a,A
2818084A20000,6,2.0,5.113879024982452,3.586111605167389,0.5976852675278982,1.4615384615384617,179.30558025836945,0.40894255146645664,recurring_b,B
33690M60M00000,6,12.0,10.104292750358582,8.175052046775818,1.3625086744626362,5.0,68.12543372313182,0.27250173489252727,recurring_a,A
3512052R21000,6,3.0,7.87083625793457,5.780637741088867,0.9634396235148112,3.1538461538461537,192.68792470296225,0.30548085623640353,recurring_a,A
3512052S10000,6,76.0,13.764701843261719,62.23529815673828,10.372549692789713,2.6153846153846154,81.88855020623458,3.965974882537243,recurring_a,A
3512062R60000,6,5.0,4.374998331069946,4.742765784263611,0.7904609640439352,1.3846153846153846,94.85531568527222,0.5708884740317309,recurring_b,B
3512080G21000,6,6.0,5.043193340301514,2.4900206327438354,0.4150034387906392,3.923076923076923,41.50034387906393,0.10578519027996687,recurring_b,B
35121M66L10000,6,8.0,8.478846549987793,4.900081396102905,0.8166802326838175,3.4615384615384617,61.251017451286316,0.23592984499754727,recurring_a,A
3515365J00000,6,20.0,11.84255838394165,11.92987060546875,1.988311767578125,9.846153846153848,59.64935302734375,0.20193791389465326,recurring_a,A
35153M59K20000,6,19.0,17.098021745681763,13.923297643661499,2.3205496072769165,12.923076923076923,73.28051391400788,0.17956633865833282,recurring_a,A
35153M75L00000,6,16.0,17.891774654388428,16.223649501800537,2.703941583633423,5.076923076923077,101.39780938625336,0.5325945543520378,recurring_a,A
3532052R20000,6,3.0,4.733379542827606,5.967925012111664,0.9946541686852773,2.923076923076923,198.93083373705545,0.34027642612917386,recurring_b,B
3532077R10000,6,14.0,9.298826098442078,5.951706528663635,0.9919510881106058,2.75,42.51218949045454,0.36070948658567487,recurring_a,A
35321M60M10000,6,17.0,11.073989748954773,10.789443612098694,1.798240602016449,3.8461538461538463,63.46731536528643,0.46754255652427673,recurring_a,A
35321M66L10000,6,9.0,4.1375826597213745,4.8624173402786255,0.8104028900464376,4.230769230769231,54.02685933642917,0.19154977401097617,recurring_b,B
3550065P02000,6,6.0,11.41392707824707,8.318073272705078,1.3863455454508464,4.230769230769231,138.63455454508463,0.32768167437929097,recurring_a,A
3552686R20000,6,22.0,9.75441575050354,12.24558424949646,2.04093070824941,2.833333333333333,55.661746588620275,0.7203284852644978,recurring_a,A
35603M79G30000,6,5.0,3.6378366947174072,2.584158778190613,0.4306931296984355,3.076923076923077,51.683175563812256,0.13997526715199152,recurring_b,B
3560461J10000,6,14.0,5.327244520187378,13.711859464645386,2.285309910774231,2.1666666666666665,97.94185331889561,1.0547584203573375,recurring_b,B
35650M60M00000,6,5.0,3.966883659362793,5.27311098575592,0.8788518309593201,2.6923076923076925,105.46221971511841,0.32643068007060455,recurring_b,B
35651M79M00000,6,3.0,11.129578828811646,8.319280862808228,1.3865468104680378,2.6153846153846154,277.3093620936076,0.5301502510613085,recurring_a,A
35671M79G30000,6,12.0,7.772916793823242,7.9784815311431885,1.329746921857198,3.3846153846153846,66.48734609285991,0.3928797723668994,recurring_a,A
35671M79G40000,6,3.0,8.799049615859985,7.019070148468018,1.1698450247446697,3.615384615384616,233.96900494893393,0.3235741557804405,recurring_a,A
3570186R00000,6,21.0,9.431923747062683,12.686879277229309,2.114479879538218,2.6923076923076925,60.41371084394909,0.785378240971338,recurring_a,A
3570273R10000,6,6.0,4.280666172504425,3.3443488478660583,0.557391474644343,1.8,55.7391474644343,0.30966193035796835,recurring_b,B
3591075F31000,6,14.0,11.810856223106384,10.201233506202698,1.7002055843671162,3.5,72.86595361573356,0.48577302410489037,recurring_a,A
35910M74L01000,6,22.0,11.909489512443542,10.090510487556458,1.6817517479260762,5.6923076923076925,45.86595676162026,0.29544287463566204,recurring_a,A
36230M70CA1000,6,2.0,3.388183146715164,2.9283714592456818,0.4880619098742803,1.1538461538461535,146.4185729622841,0.42298698855770966,recurring_b,B
3627479P01000,6,12.0,8.1198171377182,7.106225848197937,1.1843709746996562,3.3076923076923075,59.21854873498281,0.35806564351384956,recurring_a,A
3641054G01000,6,9.0,12.06162703037262,9.965949177742004,1.6609915296236675,2.076923076923077,110.73276864157782,0.7997366624113954,recurring_a,A
