sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
09409M10L02000,26,2,35.0,35.0,625.0,13.0,0.04081632653061224,Intermittent,0.9230769230769231
09409M10L04000,28,20,928.0,928.0,74206.0,1.4,0.7614192846861506,Lumpy,0.2857142857142857
09409M15L01000,28,15,302.0,302.0,13940.0,1.8666666666666667,1.3849956455543933,Lumpy,0.4642857142857143
0942105010000,5,1,1.0,1.0,1.0,5.0,,Intermittent,0.8
0944829004000,21,2,2.0,2.0,2.0,10.5,0.0,Intermittent,0.9047619047619048
0947112236000,27,5,20.0,20.0,126.0,5.4,0.71875,Lumpy,0.8148148148148149
09471M12076000,7,2,10.0,10.0,52.0,3.5,0.08,Intermittent,0.7142857142857143
09471M12182000,27,6,17.0,17.0,81.0,4.5,0.8179930795847751,Lumpy,0.7777777777777778
09471M12236000,27,11,17.0,17.0,31.0,2.4545454545454546,0.19792387543252593,Intermittent,0.5925925925925926
09482M00611000,6,1,8.0,8.0,64.0,6.0,,Intermittent,0.8333333333333334
0981600169000,27,8,9.0,9.0,11.0,3.375,0.09876543209876543,Intermittent,0.7037037037037037
0982400017000,27,3,3.0,3.0,3.0,9.0,0.0,Intermittent,0.8888888888888888
0982700004000,26,6,7.0,7.0,9.0,4.333333333333333,0.1224489795918368,Intermittent,0.7692307692307692
1124165H02000,22,2,2.0,2.0,2.0,11.0,0.0,Intermittent,0.9090909090909091
1134151K00000,10,2,2.0,2.0,2.0,5.0,0.0,Intermittent,0.8
1161052R01000,28,6,6.0,6.0,6.0,4.666666666666667,0.0,Intermittent,0.7857142857142857
1161052S01000,21,2,4.0,4.0,10.0,10.5,0.5,Lumpy,0.9047619047619048
1161054G30000,25,2,6.0,6.0,26.0,12.5,0.8888888888888888,Lumpy,0.92
1161057L02000,24,9,10.0,10.0,12.0,2.6666666666666665,0.09000000000000002,Intermittent,0.625
1161058MA0000,22,1,1.0,1.0,1.0,22.0,,Intermittent,0.9545454545454546
1161059R00000,23,1,1.0,1.0,1.0,23.0,,Intermittent,0.9565217391304348
1161060R00000,24,9,12.0,12.0,24.0,2.6666666666666665,0.5625,Lumpy,0.625
1161061M01000,12,2,2.0,2.0,2.0,6.0,0.0,Intermittent,0.8333333333333334
1161061PA0000,24,1,1.0,1.0,1.0,24.0,,Intermittent,0.9583333333333334
1161062RB0000,23,3,3.0,3.0,3.0,7.666666666666667,0.0,Intermittent,0.8695652173913043
1161065D00000,14,1,3.0,3.0,9.0,14.0,,Intermittent,0.9285714285714286
