sku_id,top_expert,top_expert_weight,effective_experts,cohort
69100M66L21000,candidate_08,0.5032314669736849,1.9999164644588232,recurring_b
7171154L30799,candidate_05,0.501606003067861,1.999979366246046,recurring_b
7171177KD0799,synthetic_mean,0.5008156227941696,1.9999946780898228,recurring_b
71711M76M00799,candidate_09,0.5018773008765575,1.9999718063287981,recurring_b
71734M58R00000,candidate_08,0.5018760243775439,1.9999718446566461,recurring_b
71741M79G10000,candidate_09,0.5089104545627174,1.9993650320520562,recurring_b
7174265J010PG,candidate_09,0.5180691685414756,1.9973914479010815,recurring_b
7176060P205PK,candidate_08,0.5005024279095376,1.9999979805316046,recurring_b
7176171L105PK,candidate_11,0.5095190062415644,1.999275370800281,recurring_b
71761M75L105PK,candidate_10,0.5001025169361724,1.999999915922226,recurring_b
71761M76MB0ZNZ,candidate_09,0.5010436252728081,1.9999912868082796,recurring_b
7177161M005PK,candidate_09,0.5064244447765366,1.9996698665775408,recurring_b
7181177MJ0799,candidate_08,0.5039433192505204,1.999875609603274,recurring_b
71812M66L00000,synthetic_median,0.5002580053349853,1.9999994674661188,recurring_b
7182263J00000,candidate_12,0.5062367053102246,1.999688876461446,recurring_b
7187161M005PK,candidate_11,0.5026596189401673,1.9999434130178337,recurring_b
7211062R00ES5,candidate_10,0.5015527032499137,1.999980713086936,recurring_b
7211157M005PK,candidate_08,0.5021591762461326,1.9999627043590003,recurring_b
72111M8450009E,candidate_08,0.5017612858292728,1.9999751832857595,recurring_b
7211281A005PK,candidate_09,0.5017983326079286,1.9999741283333257,recurring_b
72330M74L005PK,candidate_09,0.5056250811218247,1.9997468997329098,recurring_b
72333M76M005PK,candidate_08,0.5012751115433572,1.9999869928090104,recurring_b
7239071L00000,candidate_11,0.5111176302858624,1.9990116750092233,recurring_b
7246073R00000,candidate_09,0.5004707929144357,1.9999982268338257,recurring_b
72821M76MA0000,candidate_11,0.5009285520163752,1.999993102353012,recurring_b
73111M62S515PK,candidate_09,0.5093968898791569,1.9992938371058746,recurring_b
73412M53M10U3J,candidate_09,0.5045556305802924,1.9998339836219905,recurring_b
7343061J00R8H,synthetic_median,0.5019055209937064,1.9999709523398297,recurring_b
73630M76M01GJL,candidate_05,0.5127005537005254,1.9987103995567719,recurring_b
74120M74LA0000,candidate_11,0.5003814364330441,1.9999988360506575,recurring_b
75463M75J00000,candidate_10,0.5017563130985809,1.9999753232188735,recurring_b
75463M79G00000,candidate_09,0.5002874123853934,1.9999993391531838,recurring_b
7552171L00000,candidate_09,0.5090365945589039,1.99934693298814,recurring_b
7594165J00000,candidate_11,0.5021858282046382,1.9999617779709538,recurring_b
7615181A01P4Z,candidate_08,0.5073048401424033,1.99957320558013,recurring_b
76661M75L005PK,candidate_11,0.5042975885622843,1.999852256775231,recurring_b
7672157L005PK,candidate_09,0.5007604640677161,1.9999953735659155,recurring_b
77146M50S000CB,candidate_10,0.5010161494221719,1.9999917395569322,recurring_b
77181M68K005PK,candidate_05,0.5007861900599723,1.9999950552537422,recurring_b
77181M76M005PK,candidate_09,0.5136658594638036,1.99850706953411,recurring_b
7724054P105PK,candidate_09,0.5043989827484104,1.9998452035881256,recurring_b
7752061M005PK,synthetic_mean,0.5003489901119393,1.9999990256476887,recurring_b
81850M74L00000,candidate_11,0.5009899580875868,1.9999921598946124,recurring_b
82510M60M51000,candidate_09,0.5007405454038318,1.9999956127496634,recurring_b
82570M53M00000,candidate_10,0.5004234775350194,1.999998565335248,recurring_b
82811M75J00000,candidate_12,0.5008849977424653,1.999993734251597,recurring_b
8281257LA0ZNL,candidate_08,0.5058123622182416,1.999729768081131,recurring_b
82814M75J00000,candidate_08,0.5018072063696163,1.999973872382432,recurring_b
8366152R01000,candidate_12,0.5051780773095959,1.9997855231256378,recurring_b
83665M68P01000,candidate_09,0.5028393808946428,1.9999355054089245,recurring_b
8381152R02000,candidate_06,0.5129788909062034,1.9986532945455624,recurring_b
8381165J00000,candidate_10,0.5042224664662022,1.9998573763870071,recurring_b
8381180J00000,candidate_02,0.5000103990907467,1.9999999991348711,recurring_b
8382165J00000,candidate_11,0.5042292942882906,1.999856914796005,recurring_b
8383165J00000,candidate_09,0.5088564057020394,1.9993727094327831,recurring_b
8384165J00000,candidate_08,0.5033330816497065,1.99991112848298,recurring_b
8392471L200CE,candidate_09,0.5090288154548307,1.99934805651631,recurring_b
8450373R00000,candidate_09,0.504877008226705,1.9998097364278888,recurring_b
84570M67P10000,synthetic_median,0.5028529648928399,1.999934886850492,recurring_b
8470181A015PK,candidate_09,0.5034114788134019,1.9999068988325612,recurring_b
87286M81P00000,candidate_09,0.5006564020289103,1.9999965530969521,recurring_b
8926050J00000,candidate_09,0.5001882868952584,1.9999997163844008,recurring_b
