sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
09409M07308R8J,64,4,32.0,32.0,502.0,16.0,1.28125,Lumpy,0.9375
09409M07346000,64,64,22719.0,22719.0,9651483.0,1.0,0.19985108251660305,Smooth,0.0
09409M07355000,28,23,1052.0,1052.0,95836.0,1.2173913043478262,1.0367826036098673,Erratic,0.1785714285714286
09409M07L01000,64,64,42265.0,42265.0,37473791.0,1.0,0.3480356293380705,Smooth,0.0
09409M07L025PK,62,17,423.0,423.0,23361.0,3.6470588235294117,1.2957430042083733,Lumpy,0.7258064516129032
09409M08006000,64,63,13549.0,13549.0,4654591.0,1.0158730158730158,0.6070127199878537,Erratic,0.015625
09409M08308R8J,63,7,100.0,100.0,2236.0,9.0,0.6593999999999999,Lumpy,0.8888888888888888
09409M10L02000,64,14,134.0,134.0,1760.0,4.571428571428571,0.4008773583289065,Intermittent,0.78125
09409M10L04000,63,52,3559.0,3559.0,468081.0,1.2115384615384615,0.9396949070759677,Erratic,0.17460317460317465
09409M15L01000,63,40,1010.0,1010.0,59396.0,1.575,1.3631041702799374,Lumpy,0.3650793650793651
0942105010000,38,4,4.0,4.0,4.0,9.5,0.0,Intermittent,0.8947368421052632
0944829004000,49,3,12.0,12.0,102.0,16.333333333333332,1.6875,Lumpy,0.9387755102040817
0947112236000,49,15,42.0,42.0,184.0,3.2666666666666666,0.6049562682215744,Lumpy,0.6938775510204082
09471M12076000,7,2,10.0,10.0,52.0,3.5,0.08,Intermittent,0.7142857142857143
09471M12182000,64,17,48.0,48.0,248.0,3.764705882352941,0.8817274305555554,Lumpy,0.734375
09471M12236000,48,24,38.0,38.0,72.0,2.0,0.20522702637600873,Intermittent,0.5
09482M00611000,6,1,8.0,8.0,64.0,6.0,,Intermittent,0.8333333333333334
0981600169000,64,35,50.0,50.0,86.0,1.8285714285714285,0.20999999999999996,Intermittent,0.453125
0982400017000,64,12,12.0,12.0,12.0,5.333333333333333,0.0,Intermittent,0.8125
0982700004000,64,29,46.0,46.0,92.0,2.206896551724138,0.27018633540372655,Intermittent,0.546875
1124165H02000,58,8,10.0,10.0,14.0,7.25,0.13714285714285712,Intermittent,0.8620689655172413
1134151K00000,61,4,4.0,4.0,4.0,15.25,0.0,Intermittent,0.9344262295081968
1161052R01000,58,15,16.0,16.0,18.0,3.8666666666666667,0.058593750000000014,Intermittent,0.7413793103448276
1161052S01000,54,5,7.0,7.0,13.0,10.8,0.4081632653061224,Intermittent,0.9074074074074074
1161054G30000,54,10,21.0,21.0,97.0,5.4,1.3328294280675232,Lumpy,0.8148148148148149
1161057L02000,59,30,40.0,40.0,64.0,1.9666666666666666,0.2068965517241379,Intermittent,0.4915254237288136
1161058MA0000,55,7,7.0,7.0,7.0,7.857142857142857,0.0,Intermittent,0.8727272727272728
1161059R00000,53,3,3.0,3.0,3.0,17.666666666666668,0.0,Intermittent,0.9433962264150944
1161060R00000,47,11,14.0,14.0,26.0,4.2727272727272725,0.5051020408163267,Lumpy,0.7659574468085106
1161061M01000,61,10,19.0,19.0,55.0,6.1,0.5817174515235456,Lumpy,0.8360655737704918
1161061PA0000,57,7,9.0,9.0,15.0,8.142857142857142,0.345679012345679,Intermittent,0.8771929824561404
1161062RB0000,43,5,5.0,5.0,5.0,8.6,0.0,Intermittent,0.8837209302325582
1161065D00000,14,1,3.0,3.0,9.0,14.0,,Intermittent,0.9285714285714286
1161067R01000,62,51,192.0,192.0,924.0,1.2156862745098038,0.28388671874999993,Smooth,0.17741935483870963
1161073K00000,63,20,63.0,63.0,401.0,3.15,1.074379069366538,Lumpy,0.6825396825396826
1161077M00000,55,3,3.0,3.0,3.0,18.333333333333332,0.0,Intermittent,0.9454545454545454
1161080GA1000,62,4,4.0,4.0,4.0,15.5,0.0,Intermittent,0.935483870967742
1161081A00000,54,12,17.0,17.0,27.0,4.5,0.13211701793016675,Intermittent,0.7777777777777778
1161084000000,54,3,6.0,6.0,14.0,18.0,0.25,Intermittent,0.9444444444444444
11610M53M00000,64,62,615.0,615.0,9303.0,1.032258064516129,0.5335874105642295,Erratic,0.03125
11610M55RA1000,58,17,19.0,19.0,25.0,3.411764705882353,0.18836565096952912,Intermittent,0.7068965517241379
11610M62S00000,58,15,18.0,18.0,26.0,3.8666666666666667,0.21825396825396817,Intermittent,0.7413793103448276
11610M62SA0000,22,2,3.0,3.0,5.0,11.0,0.2222222222222222,Intermittent,0.9090909090909091
11610M65L00000,64,41,211.0,211.0,1833.0,1.5609756097560976,0.7052357314525729,Lumpy,0.359375
11610M67P10000,64,46,138.0,138.0,866.0,1.391304347826087,1.1160493827160494,Lumpy,0.28125
11610M68K03000,64,57,1056.0,1056.0,53370.0,1.1228070175438596,1.758856222789994,Erratic,0.109375
11610M68P02000,63,20,30.0,30.0,56.0,3.15,0.2573099415204678,Intermittent,0.6825396825396826
11610M72R00000,25,3,4.0,4.0,6.0,8.333333333333334,0.18750000000000008,Intermittent,0.88
11610M74LA0000,61,29,50.0,50.0,116.0,2.103448275862069,0.3579428571428571,Intermittent,0.5245901639344263
11610M74LB0000,64,54,167.0,167.0,739.0,1.1851851851851851,0.4390166678280542,Smooth,0.15625
11610M74TA0000,9,1,1.0,1.0,1.0,9.0,,Intermittent,0.8888888888888888
11610M76M00000,64,40,89.0,89.0,307.0,1.6,0.564419799364882,Lumpy,0.375
11610M79F30000,64,24,62.0,62.0,236.0,2.6666666666666665,0.49405058136904495,Lumpy,0.625
11610M79G40000,63,13,20.0,20.0,42.0,4.846153846153846,0.3954166666666666,Intermittent,0.7936507936507937
11610M79G50000,64,28,106.0,106.0,648.0,2.2857142857142856,0.6375802644937569,Lumpy,0.5625
1162052R00000,56,7,9.0,9.0,13.0,8.0,0.1440329218106996,Intermittent,0.875
1162052R20000,31,2,2.0,2.0,2.0,15.5,0.0,Intermittent,0.935483870967742
1162052S00000,54,4,8.0,8.0,20.0,13.5,0.3333333333333333,Intermittent,0.9259259259259259
1162057L00000,60,20,27.0,27.0,47.0,3.0,0.3046711428777704,Intermittent,0.6666666666666667
1162059R00000,27,1,1.0,1.0,1.0,27.0,,Intermittent,0.962962962962963
1162061M10000,63,3,3.0,3.0,3.0,21.0,0.0,Intermittent,0.9523809523809523
1162062R00000,36,3,3.0,3.0,3.0,12.0,0.0,Intermittent,0.9166666666666666
1162069T10000,1,1,6.0,6.0,36.0,1.0,,Smooth,0.0
1162071C11000,21,1,1.0,1.0,1.0,21.0,,Intermittent,0.9523809523809523
1162073R02000,60,10,12.0,12.0,16.0,6.0,0.12345679012345676,Intermittent,0.8333333333333334
11620M53M00000,64,60,353.0,353.0,3587.0,1.0666666666666667,0.7394873537306047,Erratic,0.0625
11620M60MA0000,63,4,4.0,4.0,4.0,15.75,0.0,Intermittent,0.9365079365079365
11620M62S02000,60,15,18.0,18.0,24.0,4.0,0.11904761904761897,Intermittent,0.75
11620M62SB0000,22,2,3.0,3.0,5.0,11.0,0.2222222222222222,Intermittent,0.9090909090909091
11620M65L10000,62,26,85.0,85.0,573.0,2.3846153846153846,1.104487197231834,Lumpy,0.5806451612903225
11620M67P00000,64,19,42.0,42.0,142.0,3.3684210526315788,0.5588939279415469,Lumpy,0.703125
11620M68K00000,64,40,236.0,236.0,3318.0,1.6,1.4183958337937077,Lumpy,0.375
