sku_id,actual_total,forecast_total,absolute_error,bias,mean_rolling_3m_wmape_percent,actual_positive_months,forecast_positive_months,model_key,model,selection_score
7171161J00799,180.0,153.8359301414109,159.4462279755105,-26.164069858589116,112.00746171410846,97,162,xgb_d2_full_log,XGB depth2 full-weight log-size,112.00746171410846
7171163T20799,41.0,14.536536785635638,50.087247562192076,-26.46346321436436,103.22146573000484,22,42,xgb_d2_full_log,XGB depth2 full-weight log-size,103.22146573000484
7171171L00799,167.0,274.5312800576662,187.1172051258868,107.53128005766618,157.75782115300257,97,162,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,157.75782115300257
7171177K70799,56.0,11.840285699558414,63.68334815634102,-44.159714300441586,106.06763542812025,30,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,106.06763542812025
7171177KD0799,52.0,7.657493440397592,56.00641008112608,-44.342506559602406,103.1545693971012,38,36,xgb_d2_none_log,XGB depth2 unweighted log-size,103.1545693971012
7171181A405PK,78.0,2.959266147762537,80.89890966489911,-75.04073385223747,100.03073783470438,10,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.03073783470438
71711M53M005PK,183.0,373.0927115305324,262.67177262562825,190.09271153053243,188.12106577049096,88,162,xgb_d2_full_log,XGB depth2 full-weight log-size,188.12106577049096
71711M53M00799,175.0,326.27476906529483,229.29930424443302,151.27476906529483,159.52718990106078,83,162,xgb_d2_full_log,XGB depth2 full-weight log-size,159.52718990106078
71711M73T015PK,134.0,3.5114676356315613,133.24378043413162,-130.48853236436844,98.46234765027961,51,10,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,98.46234765027961
71711M76M00799,81.0,93.93027420784658,117.90319421090737,12.930274207846578,125.1110304703631,49,90,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,125.1110304703631
71711M79G105PK,172.0,322.6345903142569,209.80962101744524,150.6345903142569,168.36297067837413,102,162,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,168.36297067837413
7171284A10W07,57.0,19.18172761905107,72.38474510527915,-37.818272380948926,110.53187044978839,22,54,xgb_d2_full_log,XGB depth2 full-weight log-size,110.53187044978839
7171284A20W07,42.0,4.535964871986824,46.43875774298521,-37.46403512801317,100.0728939600762,6,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.0728939600762
71712M60MA05PK,183.0,157.7410247443547,128.33897268772125,-25.2589752556453,82.77465475060527,112,162,xgb_d2_sqrt_log,XGB depth2 sqrt-weight log-size,82.77465475060527
71712M69T005PK,36.0,1.2221280634403229,35.73166114091873,-34.77787193655968,98.8716832911357,16,5,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,98.8716832911357
71712M74T005PK,136.0,66.3468704846236,121.09506113242001,-69.6531295153764,104.61588261984065,73,69,xgb_d2_none_log,XGB depth2 unweighted log-size,104.61588261984065
7171584A00ZM2,183.0,33.35686070097135,203.17897959797017,-149.64313929902866,97.65070260148818,17,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,97.65070260148818
7171754GA0000,84.0,22.4876539754626,100.44202006676176,-61.5123460245374,109.418469078277,12,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,109.418469078277
71721M76M005PK,69.0,14.60668141441141,82.04631083334237,-54.39331858558859,107.69400150066225,9,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,107.69400150066225
