sku_id,probability_below_70,confidence_band,cohort
8281257LA0ZNL,0.5608829917751786,medium,recurring_b
82814M75J00000,0.5608829917751786,medium,recurring_b
8366152R01000,0.5608829917751786,medium,recurring_b
83665M68P01000,0.5532917537397767,medium,recurring_b
8381152R02000,0.5608829917751786,medium,recurring_b
8381165J00000,0.5608829917751786,medium,recurring_b
8381180J00000,0.4700577690489257,medium,recurring_b
8382165J00000,0.5608829917751786,medium,recurring_b
8383165J00000,0.5464048150319837,medium,recurring_b
8384165J00000,0.5608829917751786,medium,recurring_b
8392471L200CE,0.4807273781438703,medium,recurring_b
8450373R00000,0.4807273781438703,medium,recurring_b
84570M67P10000,0.5608829917751786,medium,recurring_b
8470181A015PK,0.4807273781438703,medium,recurring_b
87286M81P00000,0.48453950101883386,medium,recurring_b
8926050J00000,0.5608829917751786,medium,recurring_b
