candidate_id,architecture,training_scope,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
pooled_transfer__tsb_a0.10_b0.05__w24__classical__s0.75,classical,pooled_transfer,35,35,8,12,18,96.41469352063011,150.26701476340276,0.6153041363387061,105.36734687699614,195.0,292.15488343941456,49.82301714841772,49.82301714841772
c_only__tsb_a0.40_b0.10__w24__classical__s1.00,classical,c_only,35,35,7,12,22,91.32490147217364,120.4072896154593,0.5286247418137846,101.135675975894,195.0,280.569963033899,43.88203232507641,43.88203232507641
pooled_transfer__tsb_a0.40_b0.10__w24__classical__s1.00,classical,pooled_transfer,35,35,7,12,22,91.32490147217364,120.4072896154593,0.5286247418137846,101.135675975894,195.0,280.569963033899,43.88203232507641,43.88203232507641
c_only__sba_a0.70__w24__classical__s1.50,classical,c_only,35,35,7,12,21,90.63161644833858,116.60410968153799,0.5400558485070244,116.33788193253628,195.0,292.2527727928838,49.87321681686347,49.87321681686347
pooled_transfer__sba_a0.70__w24__classical__s1.50,classical,pooled_transfer,35,35,7,12,21,90.63161644833858,116.60410968153799,0.5400558485070244,116.33788193253628,195.0,292.2527727928838,49.87321681686347,49.87321681686347
c_only__sba_a0.10__w24__classical__s0.75,classical,c_only,35,35,7,12,19,91.34633690441163,137.4463936471061,0.5985033880116339,109.22115530121162,195.0,295.05095919401117,51.308184202057014,51.308184202057014
pooled_transfer__sba_a0.10__w24__classical__s0.75,classical,pooled_transfer,35,35,7,12,19,91.34633690441163,137.4463936471061,0.5985033880116339,109.22115530121162,195.0,295.05095919401117,51.308184202057014,51.308184202057014
c_only__tsb_a0.10_b0.10__w24__classical__s0.75,classical,c_only,35,35,7,12,19,94.74078410969125,141.25171424030293,0.6131313326634593,103.00992960913906,195.0,279.62831678627526,43.39913681347449,43.39913681347449
pooled_transfer__tsb_a0.10_b0.10__w24__classical__s0.75,classical,pooled_transfer,35,35,7,12,19,94.74078410969125,141.25171424030293,0.6131313326634593,103.00992960913906,195.0,279.62831678627526,43.39913681347449,43.39913681347449
c_only__tsb_a0.40_b0.20__w24__classical__s1.00,classical,c_only,35,35,6,12,24,90.93470171800692,116.62174182796853,0.5278053079458382,99.04307087211343,195.0,263.68332632339866,35.22221862738393,35.22221862738393
