sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,median_occurrence_probability,mean_probability_threshold,feature_count,fit_status,wmape_valid,selection_score
7181177MJ0799,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,39.0,24.547249019145966,49.09518092870712,-14.452750980854034,125.88507930437724,114.54803267630135,100.0,82,32,22,21,0.42953960597515106,0.6888888888888889,799,fit_xgboost,True,114.54803267630135
7181177MJ0799,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,39.0,37.497273445129395,58.497273445129395,-1.5027265548706055,149.9930088336651,146.40317971144265,100.0,82,32,18,18,0.42953960597515106,0.8000000000000002,799,fit_xgboost,True,146.40317971144265
7181177MJ0799,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,39.0,22.318323254585266,46.52760326862335,-16.681676745414734,119.30154684262398,115.71661015836204,100.0,82,32,18,18,0.4297586679458618,0.7333333333333333,799,fit_xgboost,True,115.71661015836204
7181180J20799,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,139.0,161.55551943894307,187.4481091406301,22.55551943894305,134.85475477743174,168.9154834485743,100.0,150,89,54,54,0.5952106870166172,0.8000000000000002,799,fit_hist_gradient_boosting,True,168.9154834485743
7181180J20799,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,139.0,57.351985639111135,148.26043935424303,-81.64801436088885,106.66218658578634,118.2199106961285,100.0,150,89,18,18,0.6691058066055942,0.8000000000000002,799,fit_random_forest,True,118.2199106961285
7181180J20799,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,139.0,247.31825077533722,160.5368857383728,108.31825077533722,115.49416240170706,155.24699133590417,96.49617075920105,150,89,162,141,0.6268500089645386,0.0,799,fit_xgboost,True,155.24699133590417
7181180J20799,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,139.0,112.6746906042099,150.4077888727188,-26.3253093957901,108.20704235447397,129.24048987847786,100.0,150,89,57,50,0.6268500089645386,0.6888888888888889,799,fit_xgboost,True,129.24048987847786
7181180J20799,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,139.0,64.32055258750916,150.92924046516418,-74.67944741249084,108.5821873850102,119.43012169864443,100.0,150,89,21,21,0.6268500089645386,0.8000000000000002,799,fit_xgboost,True,119.43012169864443
7181180J20799,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,139.0,105.41920149326324,165.48738205432892,-33.580798506736755,119.05567054268268,140.3456480525158,100.0,150,89,37,37,0.6209170818328857,0.7333333333333333,799,fit_xgboost,True,140.3456480525158
71811M68P20799,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,9.0,32.58290578883633,41.58290578883633,23.582905788836328,462.0322865426258,100.0,100.0,27,9,18,18,0.11684212803753172,0.8000000000000002,799,fit_hist_gradient_boosting,True,100.0
71811M68P20799,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,9.0,9.970806859925684,18.970806859925684,0.970806859925684,210.78674288806315,100.0,100.0,27,9,18,0,0.12060201209717672,0.8000000000000002,799,fit_random_forest,True,100.0
71811M68P20799,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,9.0,65.44718420505524,68.28774100542068,56.44718420505524,758.7526778380076,139.06549756173735,135.10511219501495,27,9,162,0,0.11725439876317978,0.0,799,fit_xgboost,True,139.06549756173735
71811M68P20799,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,9.0,11.663007140159607,20.663007140159607,2.663007140159607,229.58896822399564,100.0,100.0,27,9,18,0,0.11725439876317978,0.6888888888888889,799,fit_xgboost,True,100.0
71811M68P20799,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,9.0,81.74763679504395,90.74763679504395,72.74763679504395,1008.3070755004883,100.0,100.0,27,9,18,18,0.11725439876317978,0.8000000000000002,799,fit_xgboost,True,100.0
71811M68P20799,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,9.0,12.832706212997437,21.832706212997437,3.8327062129974365,242.5856245888604,100.0,100.0,27,9,18,2,0.1211412064731121,0.7333333333333333,799,fit_xgboost,True,100.0
71811M68P30799,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,87.0,25.940468205171847,105.96610139059419,-61.05953179482816,121.80011654091287,112.88355173134633,100.0,101,50,18,18,0.2430421457406183,0.8000000000000002,799,fit_hist_gradient_boosting,True,112.88355173134633
71811M68P30799,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,87.0,18.364964509810072,99.31259859344688,-68.63503549018994,114.15241217637572,106.0133232960751,100.0,101,50,18,13,0.25913345117825437,0.8000000000000002,799,fit_random_forest,True,106.0133232960751
71811M68P30799,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,87.0,69.95828425884247,120.98345422744751,-17.04171574115753,139.06144164074428,118.68800601205808,106.79242670536041,101,50,162,18,0.23547932505607605,0.0,799,fit_xgboost,True,118.68800601205808
71811M68P30799,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,87.0,22.447978496551514,102.95494031906128,-64.55202150344849,118.33901186098997,109.61551467577615,100.0,101,50,18,18,0.23547932505607605,0.6888888888888889,799,fit_xgboost,True,109.61551467577615
71811M68P30799,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,87.0,23.01210880279541,103.45520782470703,-63.98789119720459,118.91403198242188,110.11355576342089,100.0,101,50,18,18,0.23547932505607605,0.8000000000000002,799,fit_xgboost,True,110.11355576342089
71811M68P30799,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,87.0,21.764523148536682,102.34874451160431,-65.23547685146332,117.64223507080955,109.00049797772576,100.0,101,50,18,18,0.2485172599554062,0.7333333333333333,799,fit_xgboost,True,109.00049797772576
71811M79G005PK,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,158.0,256.44709701306266,275.92978891473643,98.44709701306263,174.63910690806102,201.05980368024797,100.0,151,90,54,54,0.8234750994763811,0.8000000000000002,799,fit_hist_gradient_boosting,True,201.05980368024797
71811M79G005PK,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,158.0,120.56907143576069,222.5690714357607,-37.430928564239295,140.8665009087093,151.59536197926568,100.0,151,90,18,18,0.7203970570085638,0.8000000000000002,799,fit_random_forest,True,151.59536197926568
71811M79G005PK,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,158.0,470.72314381599426,334.51617097854614,312.72314381599426,211.71909555604185,265.31630251950975,183.52494835853577,151,90,162,162,0.7713661789894104,0.0,799,fit_xgboost,True,265.31630251950975
71811M79G005PK,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,158.0,328.1756863594055,294.71694898605347,170.17568635940552,186.5297145481351,223.31441701617658,100.0,151,90,90,90,0.7713661789894104,0.6888888888888889,799,fit_xgboost,True,223.31441701617658
71811M79G005PK,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,158.0,253.0795750617981,272.2204041481018,95.0795750617981,172.2913950304442,197.5797037917658,100.0,151,90,54,54,0.7713661789894104,0.8000000000000002,799,fit_xgboost,True,197.5797037917658
71811M79G005PK,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,158.0,316.9426517486572,305.6698966026306,158.94265174865723,193.46195987508267,226.27234982564528,100.0,151,90,74,74,0.7828257083892822,0.7333333333333333,799,fit_xgboost,True,226.27234982564528
71812M66L00000,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,99.0,53.12390256498844,122.76301583993225,-45.87609743501156,124.00304630296186,117.48482802808643,100.0,120,69,18,18,0.5218604913567412,0.8000000000000002,799,fit_hist_gradient_boosting,True,117.48482802808643
71812M66L00000,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,99.0,42.97871083649726,116.09725040094816,-56.02128916350274,117.26994989994763,112.60665361809374,100.0,120,69,18,18,0.6020884258213683,0.8000000000000002,799,fit_random_forest,True,112.60665361809374
