sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
35501M75T00000,08_fair_champion,Aggregate Allocation,100.0,06_intermittent_tournament,Aggregate Allocation,100.0,0.0
35502M75T00000,08_fair_champion,Aggregate Allocation,100.0,06_intermittent_tournament,Aggregate Allocation,100.0,0.0
3552686R20000,08_fair_champion,Hurdle XGBoost Tweedie,79.31684547924264,07_clean_regression,Hurdle XGBoost Tweedie,79.31684547924264,0.0
35601M74TA0000,08_fair_champion,Direct XGBoost Tweedie,80.1534857137934,07_clean_regression,Direct XGBoost Tweedie,80.1534857137934,0.0
35602M73T00000,08_fair_champion,Aggregate Allocation,100.0,06_intermittent_tournament,Aggregate Allocation,100.0,0.0
35603M79G30000,08_fair_champion,SBA Croston,121.1685860788054,06_intermittent_tournament,SBA Croston,121.1685860788054,0.0
3560461J10000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,101.90427997394612,06_intermittent_tournament,SBA Croston,115.15015635484266,-13.245876380896547
35604M84400000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,107.50151384136298,06_intermittent_tournament,SBA Croston,139.67703027081362,-32.17551642945064
35612M60B50000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
3565050J10000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
35650M53T00000,08_fair_champion,TSB,93.28947802197804,06_intermittent_tournament,TSB,93.28947802197804,0.0
35650M60M00000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,114.9480247209149,06_intermittent_tournament,SBA Croston,117.79756972803594,-2.849545007121037
35651M79G40000,08_fair_champion,SBA Croston Tuned,129.26931070880323,06_intermittent_tournament,SBA Croston Tuned,129.26931070880323,0.0
35651M79M00000,08_fair_champion,XGBoost Tweedie depth2 reg10,98.97870455688113,08_tuned_capped_full_coverage,XGBoost Tweedie depth2 reg10,98.97870455688113,0.0
35670M76T00000,08_fair_champion,TSB,93.08478299350573,06_intermittent_tournament,TSB,93.08478299350573,0.0
35671M79G30000,08_fair_champion,SBA Croston,112.4411969066358,06_intermittent_tournament,SBA Croston,112.4411969066358,0.0
35671M79G40000,08_fair_champion,SBA Croston,107.98770982214585,06_intermittent_tournament,SBA Croston,107.98770982214585,0.0
3570186R00000,09_croston_ml_hybrid,Croston XGBoost depth2 expected value,71.43381795528094,07_clean_regression,Direct Random Forest log1p,73.41328136052428,-1.9794634052433366
35701M76T00000,08_fair_champion,Aggregate Allocation,99.4809351728494,06_intermittent_tournament,Aggregate Allocation,99.4809351728494,0.0
3570273R10000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,100.58750428915936,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,105.07679110713616,-4.489286817976804
35702M76T00000,08_fair_champion,TSB,97.32129283468458,06_intermittent_tournament,TSB,97.32129283468458,0.0
35750M53T01000,08_fair_champion,TSB,98.77541644863074,06_intermittent_tournament,TSB,98.77541644863074,0.0
35750M68P00000,08_fair_champion,Recent Mean 6m,118.24212271973468,06_intermittent_tournament,Recent Mean 6m,118.24212271973468,0.0
35750M68P11000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
35750M68P20000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
35750M73T00000,08_fair_champion,Hurdle XGBoost Tweedie,89.21789254826243,07_clean_regression,Hurdle XGBoost Tweedie,89.21789254826243,0.0
3591075F31000,09_croston_ml_hybrid,Croston Random Forest gated probability size,100.31527488131927,06_intermittent_tournament,SBA Croston,105.53175497148594,-5.2164800901666695
