sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
64111M56R01P21,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,20.0,15.191517591088417,32.95219675120259,-4.808482408911583,164.76098375601296,105.09488902084885,104.73738820165444,40,14,162,0,779,fallback_hist_poisson_xgboost_missing,True,105.09488902084885,mean_rolling_3m_wmape_percent,-24.042412044557917,100_to_200,under_200
74120M74LA0000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,147.0,133.23750989752236,163.50782906110015,-13.762490102477646,111.22981568782323,105.25127915378467,87.7092299037148,117,72,162,39,779,fit,True,105.25127915378467,mean_rolling_3m_wmape_percent,-9.36223816495078,100_to_200,under_200
1591063A0V000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,18.0,28.46634371932818,44.25908280031386,10.46634371932818,245.88379333507703,105.27026311113872,105.39541079350062,18,6,162,0,779,fallback_hist_poisson_xgboost_missing,True,105.27026311113872,mean_rolling_3m_wmape_percent,58.14635399626766,100_to_200,under_200
71743M53M100CB,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,86.0,14.097404657992193,97.63672437450076,-71.90259534200781,113.53107485407064,105.28264615356676,104.54972828044598,37,16,162,0,779,fallback_hist_poisson_xgboost_missing,True,105.28264615356676,mean_rolling_3m_wmape_percent,-83.60766900233467,100_to_200,under_200
0915912L02000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,50.0,35.78505695416208,80.63819194271544,-14.214943045837922,161.27638388543087,105.29477866668903,101.98444926162158,27,14,162,0,779,fallback_hist_poisson_xgboost_missing,True,105.29477866668903,mean_rolling_3m_wmape_percent,-28.429886091675844,100_to_200,under_200
7181172L10799,direct_random_forest_log1p,Direct Random Forest log1p,9,162,53.0,106.47502783566594,96.3403044245602,53.47502783566594,181.77415929162302,105.37322467041703,80.96097391443683,88,48,162,6,779,fit,True,105.37322467041703,mean_rolling_3m_wmape_percent,100.89627893521876,100_to_200,under_200
0928906003000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,3573.0,1476.2223555545922,3413.536487536899,-2096.777644445408,95.53698537746709,105.37400950532857,91.7064373927276,153,110,162,162,779,fit,True,105.37400950532857,mean_rolling_3m_wmape_percent,-58.68395310510518,100_to_200,under_200
3532077R10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,130.0,125.26317353046868,144.35480977864725,-4.736826469531319,111.0421613681902,105.45684503964742,84.86736957502181,128,75,162,43,779,fit,True,105.45684503964742,mean_rolling_3m_wmape_percent,-3.6437126688702457,100_to_200,under_200
82280M79811000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,198.0,228.35822305769443,164.45266390554167,30.35822305769445,83.05690096239478,105.67170284518878,78.21784330791073,144,104,162,152,779,fit,True,105.67170284518878,mean_rolling_3m_wmape_percent,15.33243588772447,100_to_200,under_200
0924130010000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,39.0,27.332069701613037,59.64335616021378,-11.667930298386969,152.93168246208663,105.8311538895994,105.23265740164194,49,22,162,0,779,fallback_hist_poisson_xgboost_missing,True,105.8311538895994,mean_rolling_3m_wmape_percent,-29.91776999586402,100_to_200,under_200
8485165D006GS,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,49.0,17.395929349859514,63.143345151120954,-31.60407065014049,128.8639696961652,105.84194909641336,103.06044293676582,45,16,162,0,779,fallback_hist_poisson_xgboost_missing,True,105.84194909641336,mean_rolling_3m_wmape_percent,-64.49810336763365,100_to_200,under_200
7176160MB05PK,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,122.0,99.87530060243999,139.7464818427682,-22.12469939756,114.54629659243294,105.85471391713041,98.40558723045545,115,68,162,8,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,105.85471391713041,mean_rolling_3m_wmape_percent,-18.134999506196724,100_to_200,under_200
71731M60M00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,181.0,204.5809101741085,149.78387694206725,23.580910174108503,82.75352317241284,105.88009654312516,72.92416045003606,154,104,162,147,779,fit,True,105.88009654312516,mean_rolling_3m_wmape_percent,13.028127168015748,100_to_200,under_200
83970M55T00000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,147,53.0,75.05692544904164,99.87238598181611,22.056925449041646,188.43846411663418,105.91737022413103,102.09126495785955,72,39,147,14,779,fallback_hist_poisson_xgboost_missing,True,105.91737022413103,mean_rolling_3m_wmape_percent,41.6168404698899,100_to_200,under_200
8485177K006GS,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,197.0,120.10939984028622,197.13003118428915,-76.89060015971378,100.06600567730413,105.9399780066547,90.34469696429801,142,80,162,21,779,fit,True,105.9399780066547,mean_rolling_3m_wmape_percent,-39.030761502392785,100_to_200,under_200
