sku_id,lumpy_06_model_key,lumpy_06_model,lumpy_06_mean_rolling_3m_wmape_percent,lumpy_06_horizon_wmape_percent,lumpy_06_actual_total,lumpy_07_model_key,lumpy_07_model,lumpy_07_mean_rolling_3m_wmape_percent,lumpy_07_horizon_wmape_percent,lumpy_07_actual_total,rolling_wmape_delta_07_minus_06,regression_improved,regression_improved_by_10pts,regression_worse_by_10pts
3611050A30000,recent_mean_6,Recent Mean 6m,149.65728715728713,458.97435897435895,39.0,direct_extra_trees_log1p,Direct Extra Trees log1p,146.3667450091056,415.76641913590447,39.0,-3.2905421481815154,True,False,False
65500M79M00000,tsb,TSB,127.5546517019369,223.8091017502989,25.0,direct_tweedie_glm,Direct Tweedie GLM,124.33784747096185,279.3641373994567,25.0,-3.2168042309750575,True,False,False
71761M55T105PK,tsb,TSB,86.63433546413296,82.0902856765618,335.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,83.50909990532094,83.84891124510432,335.0,-3.1252355588120224,True,False,False
35121M73T10000,aggregate_allocation,Aggregate Allocation,100.0,100.0,76.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,96.90942793938824,100.78245434181106,76.0,-3.0905720606117626,True,False,False
6800280820000,sba_croston,SBA Croston,129.55139280008234,257.5586019975425,29.0,direct_tweedie_glm,Direct Tweedie GLM,126.63023760793715,300.32404657519317,29.0,-2.921155192145193,True,False,False
89267M60M00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,7.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,97.17765804930397,175.10341385524856,7.0,-2.8223419506960283,True,False,False
09409M07308P4Z,tsb,TSB,107.51278181664536,401.8654782956975,26.0,direct_extra_trees_log1p,Direct Extra Trees log1p,104.75036124676915,272.9994957895468,26.0,-2.7624205698762125,True,False,False
0915918024000,recent_mean_6,Recent Mean 6m,113.40579710144928,362.2222222222223,15.0,direct_extra_trees_log1p,Direct Extra Trees log1p,110.65425712668102,426.0839197769763,15.0,-2.7515399747682636,True,False,False
1787880G00000,recent_mean_6,Recent Mean 6m,131.59722222222226,353.33333333333337,20.0,direct_tweedie_glm,Direct Tweedie GLM,128.87821445067354,415.4519736312849,20.0,-2.7190077715487178,True,False,False
71732M75T00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,47.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,97.30938141561985,91.15469906039506,47.0,-2.6906185843801467,True,False,False
083100012A000,tsb,TSB,112.79530792667116,197.74998260693727,27.0,direct_tweedie_glm,Direct Tweedie GLM,110.14205307019702,237.73464630061335,27.0,-2.6532548564741347,True,False,False
09471M12182000,tsb,TSB,121.80537930492947,127.30643194887212,134.0,direct_tweedie_glm,Direct Tweedie GLM,119.35657004346457,135.76587528153624,134.0,-2.448809261464902,True,False,False
57300M74T00000,hurdle_random_forest,Hurdle Random Forest,84.91020468744225,88.29329791725519,99.0,direct_extra_trees_log1p,Direct Extra Trees log1p,82.54326671667057,85.09291525814186,99.0,-2.366937970771673,True,False,False
7181165DD1799,sba_croston,SBA Croston,106.95224327826368,133.68998373760277,66.0,direct_hist_poisson,Direct Hist Gradient Poisson,104.6749973616874,133.35713743026034,66.0,-2.277245916576277,True,False,False
8381173R00000,sba_croston,SBA Croston,105.96158165909414,172.7154499835446,43.0,direct_tweedie_glm,Direct Tweedie GLM,103.80280139292334,181.56656817805444,43.0,-2.158780266170794,True,False,False
1172080JA0000,tsb,TSB,116.61365976220044,172.05741936800388,61.0,direct_tweedie_glm,Direct Tweedie GLM,114.60288067703439,167.06046127013465,61.0,-2.0107790851660496,True,False,False
7287078A33000,tsb,TSB,128.51817504711198,180.94143446366573,80.0,direct_extra_trees_log1p,Direct Extra Trees log1p,126.59889086400493,171.29043200465256,80.0,-1.9192841831070524,True,False,False
6800153R00000,sba_croston,SBA Croston,86.00316439660799,81.70619053449384,219.0,direct_extra_trees_log1p,Direct Extra Trees log1p,84.18373845097565,69.76507508247941,219.0,-1.8194259456323323,True,False,False
84701M53T3026U,aggregate_allocation,Aggregate Allocation,100.0,100.0,49.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,98.21588880250782,102.52959205201417,49.0,-1.7841111974921802,True,False,False
4321052S0039M,sba_croston,SBA Croston,96.18991292245806,96.40097333232856,366.0,direct_hist_squared,Direct Hist Gradient Squared,94.4363822507113,93.91924286323291,366.0,-1.7535306717467591,True,False,False
48150M79M11C48,tsb,TSB,105.0126867837868,116.45066677702091,124.0,direct_hist_poisson,Direct Hist Gradient Poisson,103.33931675839656,116.26400597226865,124.0,-1.6733700253902413,True,False,False
0940908352000,aggregate_allocation,Aggregate Allocation,100.0,100.0,30.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,98.33835461858413,119.42266715782708,30.0,-1.661645381415866,True,False,False
3910268L01000,sba_croston,SBA Croston,115.21027465787736,197.5353016441775,33.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,113.56893634933277,192.25425796410138,33.0,-1.64133830854459,True,False,False
35321M60M10000,sba_croston,SBA Croston,86.36347573897731,85.14635395611107,208.0,direct_extra_trees_log1p,Direct Extra Trees log1p,85.04433850999568,73.82221116818836,208.0,-1.3191372289816314,True,False,False
021620616A000,tsb,TSB,109.05279482586448,130.87392317704743,83.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,107.81755594110156,134.3465248368804,83.0,-1.2352388847629214,True,False,False
87286M81P00000,sba_croston,SBA Croston,105.97125889981224,106.51533445488106,138.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,104.75780070306148,104.62734872183236,138.0,-1.2134581967507643,True,False,False
7781163J200PG,seasonal_sba_croston,Seasonal SBA Croston,83.15418172254284,77.61032980332627,202.0,direct_extra_trees_log1p,Direct Extra Trees log1p,81.9441830875181,77.8815947697252,202.0,-1.2099986350247462,True,False,False
84702M53T005PK,recent_mean_6,Recent Mean 6m,95.21929824561404,94.52054794520548,73.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,94.04846561584122,95.06465328273607,73.0,-1.1708326297728178,True,False,False
38340M51K42000,tsb,TSB,88.44392676998376,84.9777327883276,333.0,hurdle_random_forest,Hurdle Random Forest Regression,87.29632052191957,80.10495243655842,333.0,-1.1476062480641929,True,False,False
0928022020000,sba_croston,SBA Croston,110.4695997995604,130.68498508983268,70.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,109.38442466361538,126.87107968505534,70.0,-1.085175135945022,True,False,False
0915924009000,sba_croston_tuned,SBA Croston Tuned,113.1510253736531,150.74989082288351,39.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,112.06862467614324,147.61699557178827,39.0,-1.0824006975098541,True,False,False
48150M53M10C48,hurdle_random_forest,Hurdle Random Forest,101.06612704437164,158.47396418472746,44.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,100.01477062495678,160.66654536332396,44.0,-1.0513564194148586,True,False,False
17920M76M00000,sba_croston,SBA Croston,91.69569043118273,88.13301962431458,340.0,direct_tweedie_glm,Direct Tweedie GLM,90.68340451177903,82.4281741507381,340.0,-1.0122859194036948,True,False,False
0914806007000,tsb,TSB,110.17874374385477,160.35730827591166,63.0,direct_random_forest_log1p,Direct Random Forest log1p,109.22254998405275,178.73825947161163,63.0,-0.9561937598020194,True,False,False
57300M75T00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,34.0,direct_random_forest_log1p,Direct Random Forest log1p,99.05362549343582,99.51151059057702,34.0,-0.9463745065641831,True,False,False
71732M76T01000,aggregate_allocation,Aggregate Allocation,99.06295465290503,97.68615367859246,177.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,98.16701747740244,95.87390090171705,177.0,-0.8959371755025956,True,False,False
81850M74L00000,sba_croston,SBA Croston,100.89773900634816,105.3140581767814,96.0,direct_tweedie_glm,Direct Tweedie GLM,100.11661253417205,102.74628005594816,96.0,-0.781126472176112,True,False,False
77831M80E50000,tsb,TSB,110.15309494861478,131.83095683000096,128.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,109.39023461715409,144.62384825777005,128.0,-0.7628603314606863,True,False,False
4321061J01ZBP,tsb,TSB,115.26716964407254,146.3631364509355,87.0,direct_extra_trees_log1p,Direct Extra Trees log1p,114.51431414640949,148.6660991858913,87.0,-0.7528554976630488,True,False,False
2811380J015PK,tsb,TSB,98.76676912604704,98.08223473947898,180.0,direct_extra_trees_log1p,Direct Extra Trees log1p,98.1123634327877,96.31173606087884,180.0,-0.654405693259335,True,False,False
0928314005000,tsb,TSB,116.53162313228395,147.2968066709765,71.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,115.89181085463869,155.10828729698582,71.0,-0.6398122776452624,True,False,False
84901M62S51BHE,sba_croston,SBA Croston,84.51018587999775,81.48426085145175,207.0,direct_hist_squared,Direct Hist Gradient Squared,83.89607953552151,77.65317931169389,207.0,-0.6141063444762409,True,False,False
4321079K510BK,sba_croston,SBA Croston,121.40960508539466,195.2187376013445,55.0,direct_random_forest_log1p,Direct Random Forest log1p,120.81368249868828,196.9115148990932,55.0,-0.5959225867063793,True,False,False
