trial_id,recipe,candidate_id,architecture,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias,cohort
direct_d2_base_p135__w36,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p135__w36__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,101,166,210,51.507319588410226,68.86897357304892,0.4498489282347939,56.89487587786,6830.0,4939.477410167456,-27.679686527562875,27.679686527562875,recurring_a
direct_d2_base_p135__w48,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p135__w48__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,101,166,210,51.507319588410226,68.86897357304892,0.4498489282347939,56.89487587786,6830.0,4939.477410167456,-27.679686527562875,27.679686527562875,recurring_a
direct_d2_fast_p135__w18,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_fast_p135__w18__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,93,169,213,52.39359784126282,66.33330507105902,0.47975189621384073,57.95255947099947,6830.0,4741.209085866809,-30.582590250851993,30.582590250851993,recurring_a
direct_d2_fast_p135__w24,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_fast_p135__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,100,165,210,52.15723931789398,68.14029288334659,0.45486395359039306,57.313395412216074,6830.0,4981.320308089256,-27.067052590201225,27.067052590201225,recurring_a
direct_d2_fast_p135__w30,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_fast_p135__w30__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,102,169,210,51.06902241706848,67.96402029502086,0.4710169024765491,56.970029894813436,6830.0,4947.717274904251,-27.559044291299397,27.559044291299397,recurring_a
direct_d2_fast_p135__w36,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_fast_p135__w36__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,98,167,210,52.5177694502331,68.09464953621926,0.4563811258836225,57.01081421417164,6830.0,4935.685631811619,-27.735203048146136,27.735203048146136,recurring_a
direct_d2_fast_p135__w48,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_fast_p135__w48__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,98,167,210,52.5177694502331,68.09464953621926,0.4563811258836225,57.01081421417164,6830.0,4935.685631811619,-27.735203048146136,27.735203048146136,recurring_a
direct_d2_long_p150__w18,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_long_p150__w18__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,95,171,214,53.11377611425188,67.35511728097637,0.4763781627019246,57.7441269065503,6830.0,4678.345729574561,-31.50299078221726,31.50299078221726,recurring_a
direct_d2_long_p150__w24,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_long_p150__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,101,166,211,51.49793172704762,67.8288377383901,0.4637612347249631,56.73641157577886,6830.0,5036.295839935541,-26.262139971661185,26.262139971661185,recurring_a
direct_d2_long_p150__w30,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_long_p150__w30__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,105,168,210,50.54901909828186,67.22550416467764,0.44478041375124894,56.91076971208717,6830.0,4982.918897420168,-27.04364718272082,27.04364718272082,recurring_a
direct_d2_long_p150__w36,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_long_p150__w36__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,106,167,210,51.74315704239739,68.35567830605817,0.45013248547911644,57.002787103502854,6830.0,4939.188990801573,-27.68390935868854,27.68390935868854,recurring_a
direct_d2_long_p150__w48,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_long_p150__w48__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,106,167,210,51.74315704239739,68.35567830605817,0.45013248547911644,57.002787103502854,6830.0,4939.188990801573,-27.68390935868854,27.68390935868854,recurring_a
direct_d3_regularized__w18,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d3_regularized__w18__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,91,174,211,53.29785091536386,66.36196887564091,0.47466772019378534,58.02575105629414,6830.0,4703.9481410980225,-31.128138490512118,31.128138490512118,recurring_a
direct_d3_regularized__w24,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d3_regularized__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,101,164,210,51.77821487188339,67.24636648578206,0.4671322999177156,56.747353703961714,6830.0,5008.894032150507,-26.663337743037964,26.663337743037964,recurring_a
direct_d3_regularized__w30,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d3_regularized__w30__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,102,167,211,51.09253525733948,66.91919401768715,0.45163369551300997,57.13281095595171,6830.0,4871.952392667532,-28.668339785248435,28.668339785248435,recurring_a
direct_d3_regularized__w36,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d3_regularized__w36__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,101,166,211,51.09560989564465,68.41561767092922,0.45242773111049944,57.33364550514067,6830.0,4835.28686991334,-29.2051702794533,29.2051702794533,recurring_a
direct_d3_regularized__w48,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d3_regularized__w48__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,101,166,211,51.09560989564465,68.41561767092922,0.45242773111049944,57.33364550514067,6830.0,4835.28686991334,-29.2051702794533,29.2051702794533,recurring_a
hurdle_d1_sqrt_log__w18,soft__p1.25__t0.00__s1.00__none__b0.00,hurdle_d1_sqrt_log__w18__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,215,215,98,180,214,52.82206319550042,64.47622048139445,0.4844291334869017,58.29980083472001,6830.0,4248.558619373916,-37.795627827614695,37.795627827614695,recurring_a
hurdle_d1_sqrt_log__w24,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d1_sqrt_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,94,176,213,52.862393375327166,66.83185726198946,0.47387617741046256,58.4871012524912,6830.0,4115.838975454633,-39.73881441501269,39.73881441501269,recurring_a
hurdle_d1_sqrt_log__w30,soft__p0.75__t0.00__s0.75__none__b0.00,hurdle_d1_sqrt_log__w30__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,215,215,86,177,214,54.19745499634163,66.67317611275298,0.4828419509358624,59.25283627295272,6830.0,3906.698000092442,-42.800907758529405,42.800907758529405,recurring_a
hurdle_d1_sqrt_log__w36,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d1_sqrt_log__w36__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,91,176,215,52.7872314508743,66.8842804656833,0.4757585889377777,58.616636939541,6830.0,4033.1709403190016,-40.94918096165444,40.94918096165444,recurring_a
hurdle_d1_sqrt_log__w48,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d1_sqrt_log__w48__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,91,176,215,52.7872314508743,66.8842804656833,0.4757585889377777,58.616636939541,6830.0,4033.1709403190016,-40.94918096165444,40.94918096165444,recurring_a
