sku_id,tournament_cohort,optimization_segment
37145M55B21000,recurring_a,recurring_a__multi__stable
37145M56R20000,recurring_b,recurring_b__multi__stable
37145M66L00000,recurring_a,recurring_a__multi__stable
37736M58R00000,recurring_a,recurring_a__multi__stable
3773773R00Z2S,recurring_a,recurring_a__other
38315M68K00000,recurring_b,recurring_b__single__stable
38340M51K42000,recurring_a,recurring_a__multi__stable
3845062R00000,recurring_b,recurring_b__single__stable
3845071L10000,recurring_a,recurring_a__multi__stable
38450M79M00000,recurring_a,recurring_a__other
38452M65L00000,recurring_a,recurring_a__multi__stable
38821M67P00000,recurring_a,recurring_a__multi__stable
3925061J00000,recurring_a,recurring_a__other
39321M56R00000,recurring_b,recurring_b__single__stable
39321M67P00000,recurring_b,recurring_b__other
39322M67P00000,recurring_b,recurring_b__other
39322M67P10000,recurring_b,recurring_b__multi__stable
4171080J00000,recurring_b,recurring_b__other
41710M68K00000,recurring_a,recurring_a__multi__volatile
41710M82000000,recurring_a,recurring_a__multi__stable
4321052R5027N,recurring_b,recurring_b__multi__stable
4321052S0039M,recurring_a,recurring_a__multi__stable
4321053R100CE,recurring_a,recurring_a__multi__volatile
4321061J01ZBP,recurring_b,recurring_b__multi__stable
4321068LA0ZA8,recurring_a,recurring_a__multi__stable
43210M55R6027N,recurring_a,recurring_a__multi__stable
43210M55RH1QC8,recurring_b,recurring_b__multi__stable
43210M68K1109L,recurring_a,recurring_a__multi__stable
43210M76M5127N,recurring_b,recurring_b__single__stable
43210M79G5339M,recurring_a,recurring_a__multi__stable
43210M83P0027N,recurring_b,recurring_b__multi__stable
43250M68K1027N,recurring_b,recurring_b__other
43250M68K2027N,recurring_a,recurring_a__multi__stable
43250M74L0027N,recurring_a,recurring_a__multi__stable
43250M74L1027N,recurring_b,recurring_b__other
43250M79G6027N,recurring_a,recurring_a__multi__volatile
43250M79M0027N,recurring_a,recurring_a__other
43402M74L21000,recurring_a,recurring_a__multi__volatile
4342386G01000,recurring_a,recurring_a__multi__volatile
48150M69R00C48,recurring_a,recurring_a__multi__stable
5730073R02000,recurring_a,recurring_a__other
5730079P02000,recurring_a,recurring_a__multi__stable
57300M66L00000,recurring_a,recurring_a__multi__stable
57300M68K10000,recurring_a,recurring_a__multi__stable
5741079P00000,recurring_b,recurring_b__multi__stable
57410M67P00000,recurring_a,recurring_a__multi__stable
5742071L01000,recurring_b,recurring_b__multi__stable
57611M68K10000,recurring_a,recurring_a__multi__stable
57711M66L00000,recurring_b,recurring_b__multi__stable
5811077K00000,recurring_b,recurring_b__multi__stable
58110M74L00000,recurring_a,recurring_a__multi__stable
