sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score,champion_quality,sku_predictability_segment
0928022020000,08_tuned_capped_regression,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,97.21079518141279,100.09997328142767,11.0,0.7801785576178872,11.010997060957042,-10.219821442382113,6,2,0,97.21079518141279,under_100,sparse_lumpy
0928056004000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,76.9081463853982,84.4306769646599,86.0,32.71223064801515,72.6103821896075,-53.28776935198485,14,18,18,76.9081463853982,under_100,sparse_lumpy
0928314005000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,106.6675926604804,71.0,4.733990788941086,75.73399078894109,-66.26600921105891,23,6,0,100.0,under_100,repeatable_lumpy
0928326016000,06_intermittent_tournament,sba_croston,SBA Croston,110.77725695102968,97.28150171839776,339.0,182.81715584414425,329.7842908253684,-156.18284415585578,85,162,108,110.77725695102968,under_200,high_volume_repeatable
0928335036000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,100.67632850241546,218.5185185185185,180.0,228.0,393.3333333333333,48.0,12,72,54,100.67632850241546,under_200,sparse_lumpy
0928340021000,06_intermittent_tournament,sba_croston,SBA Croston,97.62065866977248,96.21154903189128,716.0,111.07352594122509,688.8746910683415,-604.9264740587748,97,162,54,97.62065866977248,under_100,high_volume_repeatable
0928340027000,06_intermittent_tournament,sba_croston,SBA Croston,94.81371497465952,91.91995668281784,477.0,105.98689668067118,438.4581933770412,-371.0131033193288,110,162,0,94.81371497465952,under_100,high_volume_repeatable
0928345012000,08_tuned_capped_regression,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,86.18390394724725,85.35951182883421,45.0,33.178550521133054,38.411780322975396,-11.821449478866947,14,18,18,86.18390394724725,under_100,sparse_lumpy
0928906003000,06_intermittent_tournament,sba_croston,SBA Croston,91.8336497467921,86.10609265587061,3573.0,1255.7856641658182,3076.5706905942566,-2317.214335834182,110,162,162,91.8336497467921,under_100,high_volume_repeatable
0928948004000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,104.39529805348529,144.64387923841767,69.0,33.316000947173976,99.80427667450817,-35.683999052826024,17,29,19,104.39529805348529,under_200,sparse_lumpy
0930508011000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,100.0,100.0,38.0,0.0,38.0,-38.0,14,0,0,100.0,under_100,sparse_lumpy
0931912047000,08_tuned_capped_regression,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,98.76652922376805,276.00492179935725,12.0,23.46845408333372,33.12059061592287,11.468454083333718,1,18,18,98.76652922376805,under_100,ultra_sparse
0932010024000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,109.55422964874732,133.6213664854907,24.0,17.366910846667885,32.06912795651777,-6.633089153332113,5,18,6,109.55422964874732,under_200,sparse_lumpy
0938019004000,06_intermittent_tournament,seasonal_sba_croston,Seasonal SBA Croston,122.04080328296492,186.22195936941455,48.0,82.27437450192691,89.386540497319,34.274374501926914,39,162,0,122.04080328296492,under_200,repeatable_lumpy
0938168001000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,40.0,0.0,40.0,-40.0,16,0,0,100.0,under_100,sparse_lumpy
0940307333000,08_tuned_capped_regression,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,125.58540162178947,143.37605638600357,34.0,41.03282381109618,48.74785917124122,7.03282381109618,17,54,8,125.58540162178947,under_200,sparse_lumpy
09403M07311000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,73.8705337659811,58.476728964429334,36.0,37.43051975752935,21.051622427194562,1.430519757529353,16,18,18,73.8705337659811,under_100,sparse_lumpy
09409063095ES,08_tuned_capped_regression,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,100.0,112.42500293940115,56.0,6.958001646064645,62.95800164606465,-49.04199835393535,2,4,4,100.0,under_100,ultra_sparse
09409063145PK,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,106.7394859600588,113.68637485355436,431.0,58.988275618819245,489.9882756188192,-372.0117243811808,24,16,16,106.7394859600588,under_200,repeatable_lumpy
0940906322000,06_intermittent_tournament,aggregate_allocation,Aggregate Allocation,100.0,100.0,36.0,0.0,36.0,-36.0,12,0,0,100.0,under_100,sparse_lumpy
09409073255PK,07_clean_regression,direct_hist_poisson,Direct Hist Gradient Poisson,106.64011033949402,216.3531913247012,40.0,51.39053001008739,86.54127652988049,11.390530010087376,9,162,0,106.64011033949402,under_200,sparse_lumpy
0940907332000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,80.07224443040158,79.90325174228963,360.0,411.255628142556,287.6517062722427,51.25562814255603,16,18,18,80.07224443040158,under_100,sparse_lumpy
0940908322000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,31.0,0.0,31.0,-31.0,12,0,0,100.0,under_100,sparse_lumpy
0940908327000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,79.00786491982475,73.792432300268,454.0,223.9266433598382,335.01764264321673,-230.07335664016182,16,18,18,79.00786491982475,under_100,sparse_lumpy
0940908352000,08_tuned_capped_regression,hist_poisson_lr02_nodes15_reg30,Hist Poisson lr02 nodes15 reg30,95.61523059461345,117.73347921732312,19.0,8.846723161029697,22.369361051291392,-10.153276838970301,4,13,0,95.61523059461345,under_100,sparse_lumpy
0940909309000,08_tuned_capped_regression,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,100.38892914549602,136.9018775359581,39.0,14.39173223902366,53.39173223902366,-24.60826776097634,16,8,8,100.38892914549602,under_200,sparse_lumpy
0940910313000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,23.0,0.0,23.0,-23.0,11,0,0,100.0,under_100,sparse_lumpy
0940910318000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,62.0,0.0,62.0,-62.0,12,0,0,100.0,under_100,sparse_lumpy
0940915304000,08_tuned_capped_regression,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,105.59322191994117,161.0513340431892,169.0,121.15773867666411,272.1767545329898,-47.84226132333588,28,73,56,105.59322191994117,under_200,repeatable_lumpy
09409M06L05000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,100.04139922104417,383.24362524868434,16.0,51.13463399024742,61.318980039789494,35.13463399024742,1,18,18,100.04139922104417,under_200,ultra_sparse
09409M07308P4Z,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,99.94053969313966,580.7297362175906,2.0,10.699820190442855,11.614594724351813,8.699820190442853,1,18,0,99.94053969313966,under_100,ultra_sparse
09409M07308R8J,08_tuned_capped_regression,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,100.0,100.0,21.0,0.0,21.0,-21.0,2,0,0,100.0,under_100,ultra_sparse
09409M07L025PK,08_tuned_capped_regression,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,115.22084289463076,116.98016605227613,703.0,214.67008748308837,822.3705673475012,-488.3299125169116,31,144,120,115.22084289463076,under_200,repeatable_lumpy
09409M08308R8J,08_tuned_capped_regression,hist_poisson_lr03_nodes15_reg20,Hist Poisson lr03 nodes15 reg20,88.49052455377682,288.81533083327537,31.0,62.0871941709976,89.53275255831537,31.087194170997595,2,72,16,88.49052455377682,under_100,ultra_sparse
