sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,selection_score
4325283S00CZ2,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,8,144,47.0,80.10685520735984,93.45949254353565,33.106855207359835,198.84998413518224,135.16959906231855,145.2029627763259,81,33,144,0,778,fit,True,135.16959906231855
4325283S00CZ2,extra_trees_log1p_leaf2_sqrt,Extra Trees log1p leaf2 sqrt,6,108,27.0,55.3550148342534,62.59620449812236,28.355014834253396,231.83779443749023,135.4718904606038,139.65435985024465,53,21,108,0,778,fit,True,135.4718904606038
4325283S00CZ2,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,3,54,27.0,26.72299129633904,43.093339587838265,-0.2770087036609614,159.604961436438,125.06524403170411,107.51648591976871,35,15,54,0,779,fit,True,125.06524403170411
4325283S00CZ2,extra_trees_log1p_leaf5_sqrt,Extra Trees log1p leaf5 sqrt,6,108,27.0,57.20375216945214,63.39883338997112,30.203752169452134,234.81049403693007,136.45884038476558,143.82507704575653,53,21,108,0,778,fit,True,136.45884038476558
4325283S00CZ2,hist_poisson_lr02_nodes15_reg30,Hist Poisson lr02 nodes15 reg30,3,54,20.0,43.25850962820825,54.226176888136855,23.258509628208262,271.13088444068427,183.81729779598695,124.2119827121261,29,12,54,18,779,fit,True,183.81729779598695
4325283S00CZ2,hist_poisson_lr03_nodes15_reg20,Hist Poisson lr03 nodes15 reg20,4,72,28.0,54.78545855829284,64.453161782575,26.785458558292838,230.1898635091964,160.60409057604065,124.70426088951507,43,18,72,18,778,fit,True,160.60409057604065
4325283S00CZ2,hist_poisson_lr05_nodes31_reg05,Hist Poisson lr05 nodes31 reg05,4,72,15.0,66.0000802597988,64.97523027583489,51.00008025979881,433.1682018388993,192.3209764755396,154.4449227567949,34,13,72,35,778,fit,True,192.3209764755396
4325283S00CZ2,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,1,18,2.0,24.57539228664862,22.57539228664862,22.57539228664862,1128.7696143324308,322.08849143837716,313.66449159802676,6,2,18,18,729,fit_hurdle_rf,True,322.08849143837716
4325283S00CZ2,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,2,36,9.0,38.941088237546765,35.42611387526019,29.941088237546772,393.62348750289107,210.91124272182205,192.1385478215593,18,7,35,19,761,fit_hurdle_rf,True,210.91124272182205
4325283S00CZ2,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,9,162,59.0,62.12798769806464,102.25009712894617,3.1279876980646364,173.3052493710952,127.93953450970486,100.0,94,39,55,34,779,fit_hurdle_rf,True,127.93953450970486
4325283S00CZ2,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,2,36,14.0,43.890250720651835,53.890250720651835,29.890250720651835,384.9303622903703,268.0426134944591,100.0,19,8,23,18,779,fallback_hist_hurdle_xgboost_missing,True,268.0426134944591
4325283S00CZ2,hurdle_xgb_thr20,Hurdle XGBoost threshold 0.20,2,36,14.0,42.42251411649373,52.42251411649373,28.42251411649373,374.44652940352665,267.2189163666844,100.0,19,8,18,18,779,fallback_hist_hurdle_xgboost_missing,True,267.2189163666844
4325283S00CZ2,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,9,162,59.0,100.37637668482601,133.8979835910633,41.37637668482601,226.9457349001073,156.35602189000107,100.0,94,39,90,38,779,fallback_hist_hurdle_xgboost_missing,True,156.35602189000107
4325283S00CZ2,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,1,18,2.0,13.773229860756713,12.57988487280668,11.773229860756713,628.994243640334,172.04487176157147,170.34142528200977,6,2,18,0,729,fit,True,172.04487176157147
4325283S00CZ2,rf_log1p_leaf4_sqrt,Random Forest log1p leaf4 sqrt,5,90,36.0,42.2745360402663,57.870407048190756,6.274536040266294,160.75113068941877,128.19930581565572,132.2699593906757,56,24,90,0,778,fit,True,128.19930581565572
4325283S00CZ2,rf_log1p_leaf8_sqrt,Random Forest log1p leaf8 sqrt,7,126,45.0,63.50715059001054,83.63263005283011,18.50715059001054,185.8502890062891,131.222262476181,138.70173963456676,72,29,126,0,779,fit,True,131.222262476181
4325283S00CZ2,xgb_tweedie_depth2_reg10,XGBoost Tweedie depth2 reg10,9,162,59.0,107.68505594509378,127.02324949558334,48.68505594509377,215.29364321285314,146.88287429258182,131.05548445346852,94,39,162,34,779,fallback_hist_poisson_xgboost_missing,True,146.88287429258182
4325283S00CZ2,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,1,18,2.0,28.269813830216016,26.269813830216016,26.269813830216016,1313.4906915108008,375.37881006537395,375.1528806258897,6,2,18,18,729,fallback_hist_poisson_xgboost_missing,True,375.37881006537395
