sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
84702M67P30000,sba_croston,SBA Croston,9,162,121.0,63.23583433219314,156.28379901188907,-57.76416566780686,129.1601644726356,116.42295980093591,103.78052126200275,107,48,144,0,True,116.42295980093591,mean_rolling_3m_wmape_percent,-47.73897989074947,100_to_200,under_200
7177161M005PK,sba_croston,SBA Croston,9,162,75.0,55.38957243145103,97.47066525972275,-19.61042756854897,129.96088701296367,116.44523037050493,131.69267707082835,105,48,162,0,True,116.44523037050493,mean_rolling_3m_wmape_percent,-26.147236758065294,100_to_200,under_200
0928314005000,tsb,TSB,9,162,71.0,46.83119629929914,104.58073273639332,-24.168803700700856,147.2968066709765,116.53162313228395,112.33884253026298,60,23,162,0,True,116.53162313228395,mean_rolling_3m_wmape_percent,-34.04056859253642,100_to_200,under_200
1172080JA0000,tsb,TSB,9,162,61.0,72.62096030205876,104.95502581448235,11.620960302058766,172.05741936800388,116.61365976220043,120.15475063259433,74,33,162,0,True,116.61365976220043,mean_rolling_3m_wmape_percent,19.05075459353896,100_to_200,under_200
84701M67P30000,tsb,TSB,9,162,73.0,148.39569537908096,203.07079322101174,75.39569537908093,278.1791687959065,116.77393522343758,112.1701501544766,33,12,162,54,True,116.77393522343758,mean_rolling_3m_wmape_percent,103.2817744918917,100_to_200,under_200
39321M56R00000,sba_croston,SBA Croston,9,162,37.0,60.42395154609223,75.20266658319876,23.423951546092233,203.2504502248615,116.81583747001456,122.54391570328546,78,35,162,0,True,116.81583747001456,mean_rolling_3m_wmape_percent,63.30797715160063,100_to_200,under_200
3512062R60000,sba_croston,SBA Croston,9,162,56.0,73.2013943024578,92.67800735035762,17.20139430245779,165.49644169706718,116.90064875127804,122.75396434050279,86,40,162,0,True,116.90064875127804,mean_rolling_3m_wmape_percent,30.716775540103193,100_to_200,under_200
0911912006XC0,hurdle_random_forest,Hurdle Random Forest,9,162,8.0,46.95491614171219,52.95491614171219,38.95491614171219,661.9364517714024,117.07405948219984,100.0,23,8,42,36,True,117.07405948219984,mean_rolling_3m_wmape_percent,486.93645177140235,100_to_200,under_200
5823054P00000,sba_croston,SBA Croston,9,162,49.0,74.03067440670702,87.85406272978861,25.030674406707025,179.29400557099714,117.10955115652388,125.74588477366255,83,37,162,0,True,117.10955115652388,mean_rolling_3m_wmape_percent,51.08300899327964,100_to_200,under_200
77832M67P000PG,sba_croston,SBA Croston,9,162,46.0,87.58757467475579,95.23077471906495,41.58757467475577,207.02342330231514,117.12089835041661,129.47845804988663,74,35,162,0,True,117.12089835041661,mean_rolling_3m_wmape_percent,90.40777103207776,100_to_200,under_200
