sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
76237M70F005PK,recent_mean_6,Recent Mean 6m,9,162,146.0,276.0,379.3333333333333,130.0,259.8173515981735,140.0,107.77777777777777,40,14,108,72,True,140.0,mean_rolling_3m_wmape_percent,89.04109589041096,100_to_200,under_200
0940910318000,tsb,TSB,9,162,62.0,289.2907160491853,301.53607451880316,227.29071604918528,486.34850728839217,142.35940579904215,140.982230086036,34,12,162,108,True,142.35940579904215,mean_rolling_3m_wmape_percent,366.59792911158917,100_to_200,under_200
15910M79GC0000,sba_croston,SBA Croston,9,162,240.0,185.17532902763924,321.7770491568275,-54.82467097236078,134.07377048201144,144.63447189633342,113.61058601134214,117,52,162,126,True,144.63447189633342,mean_rolling_3m_wmape_percent,-22.843612905150326,100_to_200,under_200
72211M60M005PK,tsb,TSB,9,162,3.0,43.64149702982738,44.12960355964254,40.64149702982737,1470.986785321418,144.99419764360138,150.58514972043267,7,3,162,0,True,144.99419764360138,mean_rolling_3m_wmape_percent,1354.7165676609122,100_to_200,under_200
11610M79F30000,sba_croston,SBA Croston,9,162,37.0,112.81009542942259,109.7991826356623,75.8100954294226,296.75454766395217,146.53175299394098,163.77551020408163,73,29,162,0,True,146.53175299394098,mean_rolling_3m_wmape_percent,204.89214980925027,100_to_200,under_200
83943M68P00000,sba_croston,SBA Croston,9,162,15.0,100.20291517455925,97.19304892205251,85.20291517455925,647.9536594803501,149.37600521901942,159.1346153846154,39,15,162,0,True,149.37600521901942,mean_rolling_3m_wmape_percent,568.0194344970618,100_to_200,under_200
3611050A30000,recent_mean_6,Recent Mean 6m,9,162,39.0,171.0,179.0,132.00000000000003,458.97435897435895,149.65728715728713,116.66666666666666,44,18,108,54,True,149.65728715728713,mean_rolling_3m_wmape_percent,338.46153846153857,100_to_200,under_200
0915912079000,aggregate_allocation,Aggregate Allocation,9,162,113.0,284.1990349711763,364.71376523013055,171.19903497117627,322.7555444514429,150.6044925625158,109.30174609312407,26,9,162,160,True,150.6044925625158,mean_rolling_3m_wmape_percent,151.50357077095245,100_to_200,under_200
7821965J105PK,tsb,TSB,9,162,26.0,179.91751134830304,187.20886090132478,153.91751134830304,720.0340803897107,157.71933617702967,134.70684765038195,35,12,162,72,True,157.71933617702967,mean_rolling_3m_wmape_percent,591.990428262704,100_to_200,under_200
3613050A30000,tsb,TSB,9,162,114.0,278.2426842676849,326.83587260583283,164.2426842676849,286.6981338647657,158.21827408270437,161.8401180349256,44,18,162,126,True,158.21827408270437,mean_rolling_3m_wmape_percent,144.07253005937272,100_to_200,under_200
0928056004000,sba_croston,SBA Croston,9,162,480.0,368.37654353054336,563.7653929545332,-111.62345646945661,117.45112353219443,161.36003447425952,102.79775402224382,126,72,162,162,True,161.36003447425952,mean_rolling_3m_wmape_percent,-23.25488676447013,100_to_200,under_200
09409063145PK,tsb,TSB,9,162,431.0,282.3694604204022,624.7564579764194,-148.63053957959778,144.95509465810193,162.27264141978446,118.16434037684398,63,24,162,108,True,162.27264141978446,mean_rolling_3m_wmape_percent,-34.48504398598556,100_to_200,under_200
87205M79G51000,sba_croston_tuned,SBA Croston Tuned,9,162,31.0,106.72460471585097,104.92411079203958,75.72460471585099,338.4648735227084,166.86285589046634,144.78891820580475,61,22,162,72,True,166.86285589046634,mean_rolling_3m_wmape_percent,244.27291843822897,100_to_200,under_200
2824178K00000,sba_croston,SBA Croston,9,162,15.0,114.51400114062244,107.66644533159524,99.51400114062244,717.776302210635,172.02635747335077,170.3125,43,15,162,0,True,172.02635747335077,mean_rolling_3m_wmape_percent,663.4266742708163,100_to_200,under_200
0940908322000,aggregate_allocation,Aggregate Allocation,9,162,31.0,123.56303042561868,141.3477152362409,92.56303042561868,455.96037172980937,179.14737868105124,132.1862689482084,34,12,162,68,True,179.14737868105124,mean_rolling_3m_wmape_percent,298.59042072780215,100_to_200,under_200
8298265D00P4Z,tsb,TSB,9,162,190.0,214.3687922711942,295.957494518477,24.368792271194216,155.76710237814578,196.0677410014077,190.7570360590308,106,45,162,144,True,196.0677410014077,mean_rolling_3m_wmape_percent,12.825680142733798,100_to_200,under_200
01550M0612A,recent_mean_6,Recent Mean 6m,9,162,22.0,108.0,123.33333333333333,86.0,560.6060606060605,220.0,100.0,25,9,54,54,True,220.0,mean_rolling_3m_wmape_percent,390.90909090909093,over_200,over_200
09409M07L025PK,sba_croston,SBA Croston,9,162,704.0,1066.4169525527282,1422.1066172589335,362.41695255272816,202.00378086064396,327.2157594212734,107.69391741071428,67,32,162,162,True,327.2157594212734,mean_rolling_3m_wmape_percent,51.47968076033071,over_200,over_200
0940907332000,sba_croston,SBA Croston,9,162,1311.0,1080.6764210314373,1524.004296293474,-230.32357896856246,116.24746729927338,350.62074127654734,92.48063337053571,124,75,162,162,True,350.62074127654734,mean_rolling_3m_wmape_percent,-17.568541492643973,over_200,over_200
