model,demand_type,sku_id,sku_wmape
xgboost,smooth,65561M56R00000,158.2550287246704
xgboost,smooth,65561M68P00000,28.08558464050293
xgboost,smooth,65700M56R10000,159.68821048736572
xgboost,smooth,6800154P01000,4.732179641723633
xgboost,smooth,68001M55R02000,
xgboost,smooth,68001M56R01000,13.80465507507324
xgboost,smooth,68001M68P04000,3.1263510386149087
xgboost,smooth,68001M68P13000,65.75325727462769
xgboost,smooth,6800253R00000,10.08881727854411
xgboost,smooth,6800254P01000,
xgboost,smooth,68002M55R02000,1.4298057556152344
xgboost,smooth,68002M56R01000,12.095193862915039
xgboost,smooth,68002M62S02000,12.637925148010254
xgboost,smooth,68002M68P04000,8.216208219528198
xgboost,smooth,68002M68P13000,48.140132427215576
xgboost,smooth,68002M74T20000,6.960535049438477
xgboost,smooth,6800353R00000,
xgboost,smooth,6800354P01000,62.2580885887146
xgboost,smooth,6800361M01000,97.77390956878662
xgboost,smooth,68003M53M11000,
xgboost,smooth,68003M55R02000,
xgboost,smooth,68003M55T01000,1.7867565155029297
xgboost,smooth,68003M56R01000,1.024949550628662
xgboost,smooth,68003M68P00000,3.2356739044189453
xgboost,smooth,6800453R00000,
xgboost,smooth,6800454P01000,
xgboost,smooth,68004M55R02000,2.7329325675964355
xgboost,smooth,68004M55T01000,3.612685203552246
xgboost,smooth,68004M56R01000,10.585031509399414
xgboost,smooth,68004M68P03000,28.816986083984375
xgboost,smooth,6910052R00000,15.892910957336426
xgboost,smooth,6910065850000,95.9660291671753
xgboost,smooth,6910071L00000,9.126965204874676
xgboost,smooth,6910086R00000,30.731672048568726
xgboost,smooth,69100M55R00000,4.795066515604654
xgboost,smooth,69100M55T10000,12.700970967610678
xgboost,smooth,69100M62S10000,2.6082634925842285
xgboost,smooth,69100M68P11000,52.58833037482368
xgboost,smooth,69100M68P21000,9.586238861083984
xgboost,smooth,69100M74L30000,47.55209684371948
xgboost,smooth,69100M74T00000,7.713861465454102
xgboost,smooth,69100M75T50000,21.504664421081543
xgboost,smooth,69310M68L00000,6.823245684305827
xgboost,smooth,6932068L00000,0.2179225285847982
xgboost,smooth,69330M68L00000,3.315122922261556
xgboost,smooth,69340M68L00000,4.193568229675293
xgboost,smooth,69410M68L00000,6.175142526626587
xgboost,smooth,69420M68L00000,40.37362337112427
xgboost,smooth,69430M68L00000,1.9199907779693604
xgboost,smooth,69440M68L00000,
xgboost,smooth,71089M62S105PK,12.256486075265068
xgboost,smooth,71110M76M00000,5.131292343139648
xgboost,smooth,71411M76M00000,17.666665712992348
xgboost,smooth,7171153R00799,5.437053333629261
xgboost,smooth,7171154P00N49,
xgboost,smooth,7171154P10N49,
xgboost,smooth,7171157M00CAF,73.73865842819214
xgboost,smooth,7171161M00799,1.1434316635131836
xgboost,smooth,7171161P10799,22.460881868998207
xgboost,smooth,7171162R10799,66.2596583366394
xgboost,smooth,7171168R02N49,2.224961916605632
xgboost,smooth,7171172SA0799,29.290008544921875
xgboost,smooth,7171173R00799,14.06855583190918
xgboost,smooth,7171175K10799,52.67249345779419
xgboost,smooth,7171177K60799,
xgboost,smooth,7171177KB0799,20.737133026123047
xgboost,smooth,7171178R115PK,43.98983716964722
xgboost,smooth,7171180J30799,72.74631261825562
xgboost,smooth,7171186R00N49,9.860891103744507
xgboost,smooth,7171186R10N49,9.084522724151611
xgboost,smooth,71711M50S00799,9.117507934570312
xgboost,smooth,71711M53MB0799,10.495322942733765
xgboost,smooth,71711M53T10799,19.293975830078125
xgboost,smooth,71711M54T01799,49.80080922444661
xgboost,smooth,71711M55R00799,8.423253468104772
xgboost,smooth,71711M55T00799,12.806377410888672
xgboost,smooth,71711M60MA0799,
xgboost,smooth,71711M62SA05PK,27.945632934570312
xgboost,smooth,71711M68P01799,21.68154035295759
xgboost,smooth,71711M74T01799,3.3733021129261362
xgboost,smooth,71711M75T00799,8.001639626242897
xgboost,smooth,71711M76MA0799,3.4357157620516694
xgboost,smooth,71711M81R00799,9.481639862060547
xgboost,smooth,71711M83P00799,63.8427734375
xgboost,smooth,7171254P00000,21.655774116516113
xgboost,smooth,7171264R005PK,1.8147087097167967
xgboost,smooth,7171279P00000,29.8539400100708
xgboost,smooth,7171286R00000,9.361100196838379
xgboost,smooth,71712M50S00000,17.419000772329476
xgboost,smooth,71712M52R00000,19.595405790540905
xgboost,smooth,71712M60P00000,
xgboost,smooth,71712M62S005PK,25.751452975802952
xgboost,smooth,71712M68P00000,2.5369930267333984
xgboost,smooth,71712M74L00000,42.13172793388367
xgboost,smooth,7171364R00000,35.230698585510254
xgboost,smooth,7171378R005PK,
xgboost,smooth,7171386R005PK,
xgboost,smooth,71713M80T005PK,6.969014803568522
xgboost,smooth,71716M50S00000,13.183221817016602
xgboost,smooth,71716M74T00000,6.268662214279175
xgboost,smooth,7171754P005PK,23.84124596913656
xgboost,smooth,7171854P005PK,10.027360916137695
xgboost,smooth,7171857M005PK,30.468261241912842
xgboost,smooth,7172152R005PK,21.81892991065979
xgboost,smooth,7172161M005PK,2.690744400024414
xgboost,smooth,7172164R005PK,1.7695903778076172
xgboost,smooth,7172164R105PK,11.927580833435059
xgboost,smooth,7172173R005PK,4.003417491912842
xgboost,smooth,7172177K00000,26.718002557754517
xgboost,smooth,7172177KA05PK,40.857553482055664
xgboost,smooth,7172178R005PK,38.628089427948
xgboost,smooth,7172186R005PK,8.202135562896729
xgboost,smooth,71721M50S005PK,0.8800125122070312
xgboost,smooth,71721M52R005PK,31.104516983032227
xgboost,smooth,71721M55T005PK,13.43539237976074
xgboost,smooth,71721M62S00799,21.690221266313035
xgboost,smooth,71721M67P005PK,21.419572830200195
xgboost,smooth,71721M68K005PK,18.089380264282227
xgboost,smooth,71721M68L005PK,3.172421455383301
xgboost,smooth,71721M68P005PK,28.07576921251085
xgboost,smooth,71721M76T005PK,2.139263153076172
xgboost,smooth,71721M79M005PK,
xgboost,smooth,71721M81R105PK,7.3644280433654785
xgboost,smooth,71721M83P005PK,7.812678813934326
xgboost,smooth,7172277KA0PCG,35.55351495742798
xgboost,smooth,7173153R00000,17.061586380004883
xgboost,smooth,7173154P00000,4.9682087368435335
xgboost,smooth,7173161J01000,16.08344858342951
xgboost,smooth,7173161M00000,22.593347231547035
xgboost,smooth,7173162R00000,29.71356511116028
xgboost,smooth,7173165J00000,5.324943249042217
xgboost,smooth,7173173R00000,8.283424377441406
xgboost,smooth,7173179M00000,4.306610425313314
xgboost,smooth,7173180J00000,17.39725112915039
xgboost,smooth,71731M50S00000,29.75939750671387
xgboost,smooth,71731M55R00000,9.681933859120244
xgboost,smooth,71731M55T00000,17.133679109461166
xgboost,smooth,71731M62S00000,26.694938114711213
xgboost,smooth,71731M68P00000,64.82486724853516
xgboost,smooth,71731M74L00000,144.00241374969482
xgboost,smooth,71731M74T00000,34.414541721343994
xgboost,smooth,71731M75T00000,1.8398046493530273
xgboost,smooth,71731M76M00000,29.256563186645508
xgboost,smooth,71731M79M10000,0.8604526519775391
xgboost,smooth,71731M81R00000,25.99480152130127
xgboost,smooth,7173253R00000,18.547352155049644
xgboost,smooth,7173254P00000,5.972680178555575
xgboost,smooth,7173261J01000,32.802481121487084
xgboost,smooth,7173261M00000,17.983675003051758
xgboost,smooth,7173273R00000,74.05022382736206
xgboost,smooth,7173279M00000,30.697277614048552
xgboost,smooth,7173280J00000,1.1882373264857702
xgboost,smooth,71732M50S00000,18.80018527691181
xgboost,smooth,71732M53MB0000,84.06422138214111
xgboost,smooth,71732M55R00000,2.8438472747802734
xgboost,smooth,71732M55T00000,6.596478548916903
xgboost,smooth,71732M62S00000,9.360381535121373
xgboost,smooth,71732M68P00000,27.175097995334202
xgboost,smooth,71732M74L00000,27.670822143554684
xgboost,smooth,71732M76M00000,421.83804512023926
xgboost,smooth,71732M79M10000,21.617984771728516
xgboost,smooth,71732M81R00000,11.954840024312336
xgboost,smooth,7173352R00000,152.29952335357666
xgboost,smooth,7173354P00000,7.882022857666016
xgboost,smooth,7173364R00000,12.405574321746826
xgboost,smooth,71733M55R00000,56.91907670762804
xgboost,smooth,7173452R00000,6.313371658325195
xgboost,smooth,7173454P00000,56.26593828201294
xgboost,smooth,7173464R00000,25.024831295013428
xgboost,smooth,71734M55R00000,32.00125694274902
xgboost,smooth,7174064R01C48,46.320557594299316
xgboost,smooth,71740M50S10C48,21.101058959960938
xgboost,smooth,71740M53T00000,14.264392852783203
xgboost,smooth,71740M54T10C48,16.63181781768799
xgboost,smooth,71740M55R00C48,8.134031295776367
xgboost,smooth,71740M55T20C48,41.58510480608259
xgboost,smooth,71740M68P10C48,15.074796676635744
xgboost,smooth,7174152R005PK,194.02780532836914
xgboost,smooth,7174161M10000,50.33518075942993
xgboost,smooth,7174168R005PK,29.55646514892578
xgboost,smooth,7174177K0038B,
xgboost,smooth,71741M53MB05PK,2.7679741382598877
xgboost,smooth,71741M67P005PK,
xgboost,smooth,71741M79M005PK,
xgboost,smooth,7174277K010PG,
xgboost,smooth,71742M76M100PG,5.04835844039917
xgboost,smooth,71743M67P000PG,
xgboost,smooth,71745M76M100PG,2.8765201568603516
xgboost,smooth,7175061P10AVF,30.310535430908203
xgboost,smooth,7175065J03000,75.53707361221313
xgboost,smooth,7175152R105PK,46.94262742996216
xgboost,smooth,7175164R100PG,8.678245544433594
xgboost,smooth,7175179P105PK,13.055181503295898
xgboost,smooth,71751M50S105PK,2.7759688241141185
xgboost,smooth,71751M52R005PK,187.58256435394287
xgboost,smooth,71751M52R105PK,0.6452083587646484
xgboost,smooth,71751M54T105PK,12.228435277938843
xgboost,smooth,71751M55T105PK,4.014078776041666
xgboost,smooth,71751M56R105PK,119.17147636413574
xgboost,smooth,71751M68K105PK,3.8880348205566406
xgboost,smooth,71751M68P105PK,91.64482752482095
xgboost,smooth,71751M74L105PK,
xgboost,smooth,71751M74T20ZAM,37.23485469818115
xgboost,smooth,71751M76MB0Z2S,66.72817468643188
xgboost,smooth,71751M76MB0ZHJ,
xgboost,smooth,7175286R000PG,90.45377969741821
xgboost,smooth,7176061P10AVF,3.7011487143380304
xgboost,smooth,71760M55T30C48,18.744754791259766
xgboost,smooth,7176152R105PK,
xgboost,smooth,7176164R100PG,61.14778518676758
xgboost,smooth,7176177K00000,7.197201251983643
xgboost,smooth,71761M50S105PK,2.082834243774414
xgboost,smooth,71761M54T105PK,10.991644859313965
xgboost,smooth,71761M56R105PK,
xgboost,smooth,71761M68P105PK,26.167898178100586
xgboost,smooth,71761M74L105PK,
xgboost,smooth,71761M83P105PK,18.36475133895874
