sku_id,suzuki_model,mapping_method
17100M72R00000,,unmapped
17100M74L00000,,unmapped
1711152S10000,,unmapped
1711161J00000,,unmapped
1711165J10000,,unmapped
17111M76G01000,,unmapped
1712052R21000,,unmapped
17191M68P00000,,unmapped
17212M76M00000,,unmapped
1753082J00000,,unmapped
1770061P00000,,unmapped
1770065J10000,,unmapped
1770073R00000,,unmapped
1770073R10000,,unmapped
1770080JA0000,,unmapped
17700M68K20000,,unmapped
17700M76M00000,,unmapped
17700M76T00000,,unmapped
17700M79M00000,,unmapped
1776073R00000,,unmapped
17861M52R00000,,unmapped
17862M68K20000,,unmapped
17862M76M00000,,unmapped
17879M66R00000,,unmapped
1793179M00000,,unmapped
1793180F50000,,unmapped
1793276M10000,,unmapped
22913M79M10000,,unmapped
2717076G00000,,unmapped
2756166J21000,,unmapped
2810164J01000,,unmapped
28101M76T00000,,unmapped
2811677R00000,,unmapped
28157M55T105PK,,unmapped
3397065J00000,,unmapped
3397068L00000,,unmapped
34100M55RL0000,,unmapped
34100M68T80000,,unmapped
3410186RH0000,,unmapped
34101M76M21000,,unmapped
34112M68P00000,,unmapped
34810M68P00000,,unmapped
3510077RB1000,JIMNY,description_keyword_exact
3512061MA1000,,unmapped
3512063J30000,,unmapped
3512065JB2000,,unmapped
3512072L51000,,unmapped
3512077M30000,,unmapped
3532054G40000,,unmapped
3532057L30000,,unmapped
3532057LB1000,,unmapped
3532061M31000,,unmapped
3532065JB2000,,unmapped
3532079P50000,,unmapped
3532150A30000,,unmapped
35321M79G50000,,unmapped
3552686R11000,,unmapped
35602M60B30000,,unmapped
3560373R10000,,unmapped
3560452S00000,,unmapped
3560473R00000,,unmapped
3560473R10000,,unmapped
3565057L20000,,unmapped
3565061J00000,,unmapped
3565177M01000,,unmapped
3567063T00000,,unmapped
3567177M01000,,unmapped
35810M81R005PK,,unmapped
3595073RA0000,,unmapped
36101M70F00000,,unmapped
3621268L00000,,unmapped
36213M79M00000,,unmapped
3627454P01000,,unmapped
3627563G21000,,unmapped
3627565D00000,,unmapped
3641073R00000,,unmapped
3641077M00000,,unmapped
3641078K00000,,unmapped
36410M55R00000,,unmapped
36410M76M00000,,unmapped
36430M72M10000,,unmapped
3657462J00000,,unmapped
3658352R00000,,unmapped
3658368L00000,,unmapped
36691M62S10000,,unmapped
36717M68P10000,,unmapped
37019M68P32000,,unmapped
37019M79MH0000,,unmapped
37100M68PD0000,,unmapped
3710173R20000,,unmapped
37107648135PK,,unmapped
3710864840000,,unmapped
3717573R00000,,unmapped
37175M68P20000,,unmapped
3717862J00000,,unmapped
37178M56R10000,,unmapped
3748073H20000,,unmapped
37480M62S00000,,unmapped
37736M55T00000,,unmapped
3799052R53000,,unmapped
3810052R00000,,unmapped
38100M68P01000,,unmapped
3815373R00000,,unmapped
38153M67P00000,,unmapped
3831052R00000,,unmapped
3831052S00000,,unmapped
3831080J01000,,unmapped
38310M68P00000,,unmapped
38400M76T10000,,unmapped
3840254P00000,,unmapped
3840279S00000,,unmapped
38402M53M00000,,unmapped
3845079P00000,,unmapped
38450M74T10000,,unmapped
38450M76G00000,,unmapped
38450M76T10000,,unmapped
3845261M00000,,unmapped
38452M76M00000,,unmapped
38452M79F00000,,unmapped
3848052R00000,,unmapped
3848052R10000,,unmapped
38480M53M00000,,unmapped
38480M66L00000,,unmapped
38480M67P00000,,unmapped
38480M74L00000,,unmapped
3850079P00000,,unmapped
38832M56R00000,,unmapped
38840M76M00000,,unmapped
3891077R11000,JIMNY,description_keyword_exact
38910M68K00000,,unmapped
3893077R00000,,unmapped
38930M68PA0000,,unmapped
39102M55KA1000,,unmapped
39102M55R01000,,unmapped
39102M69P00000,,unmapped
3915365J00ZDL,,unmapped
3915377R00000,,unmapped
3915557L00000,,unmapped
3925070F90000,,unmapped
3925181JA0000,,unmapped
39251M76M00000,,unmapped
3925362R20000,,unmapped
3925371L11000,,unmapped
39270M56R10000,,unmapped
3932161M20000,,unmapped
3932165J00000,,unmapped
39322M74L10000,,unmapped
39331M68K20000,,unmapped
3951061MA0BKZ,,unmapped
39814M69R016GS,,unmapped
39950M62SB0000,,unmapped
3A760M80T01000,,unmapped
3F900M81R10000,,unmapped
3F920M77S00000,,unmapped
41211M82CB0000,,unmapped
4123065J00000,,unmapped
4123071L00000,,unmapped
4171057L00000,,unmapped
43180M68P00000,,unmapped
4321052R6027N,,unmapped
4321054L9027N,,unmapped
4321054P0009L,,unmapped
4321058L01ZRH,,unmapped
4321064RG0QC8,,unmapped
4321068L50ZA8,,unmapped
4321073R5027N,,unmapped
4321078K5027N,,unmapped
4321079P60ZMQ,,unmapped
4321081A26QC8,,unmapped
43210M68K5027N,,unmapped
43210M74T0009L,,unmapped
43210M80T50QC8,,unmapped
43210M83P1027N,,unmapped
4325054G10ZGJ,,unmapped
4325080J10ZH1,,unmapped
43250M60D90000,,unmapped
4325251K10CZ2,,unmapped
4325284M010PG,,unmapped
43252M80T00000,,unmapped
4329068R00000,,unmapped
43402M69R01000,,unmapped
4512377R50000,,unmapped
48121M59K00BDB,,unmapped
4815054P11C48,,unmapped
4815072M02FC6,,unmapped
4840052S005PK,,unmapped
4881058M00000,,unmapped
49400M74L51000,,unmapped
49720M52R50000,,unmapped
4982077E72000,,unmapped
54100M74L025PK,,unmapped
56220M53M01000,,unmapped
5721057M50000,,unmapped
5721065DV1000,,unmapped
5723078R00000,,unmapped
5730054812000,,unmapped
5730061M00000,,unmapped
5730063J00000,,unmapped
5730077M00000,,unmapped
57300M60M00000,,unmapped
57300M70F00000,,unmapped
5741063J10000,,unmapped
5741073R00000,,unmapped
57410M55T00000,,unmapped
57410M68K00000,,unmapped
57410M75T00000,,unmapped
5742061M01000,,unmapped
5742072SA0000,,unmapped
5742073R00000,,unmapped
5742080J00000,,unmapped
57420M53T00000,,unmapped
57420M74T00000,,unmapped
57420M76T00000,,unmapped
5760081810000,,unmapped
5761154P10000,,unmapped
5761161P10000,,unmapped
5761172SA0000,,unmapped
5761173K00000,,unmapped
5761177M10000,,unmapped
57611M79G00000,,unmapped
5770057810000,,unmapped
5770065810000,,unmapped
5771154P10000,,unmapped
5771161P00000,,unmapped
5771162R00000,,unmapped
5771179P02000,,unmapped
57711M60M10000,,unmapped
57711M79M00000,,unmapped
5810061J02000,,unmapped
58111M67P00000,,unmapped
5812054P00000,,unmapped
5812078R00000,JIMNY,description_keyword_exact
58210M67P00000,,unmapped
5823062R00000,,unmapped
5823071L00000,,unmapped
5823072SA2000,,unmapped
5823077M01000,,unmapped
58240M66L00000,,unmapped
5824265J01000,,unmapped
5825080J10000,,unmapped
5826080J01000,,unmapped
5827059R00000,,unmapped
5827061M00000,,unmapped
58270M58R00000,,unmapped
58287M76M00000,,unmapped
5830078R00000,JIMNY,description_keyword_exact
58300M80T00000,,unmapped
58315M68P00000,,unmapped
58316M55R00000,,unmapped
5832052S00000,,unmapped
58322M68P00000,,unmapped
58418M53M00000,,unmapped
5851161J11000,,unmapped
58600M54T10000,,unmapped
58600M62S10000,,unmapped
58610M68P10000,,unmapped
5861178R00000,,unmapped
