sku_id,history_months,history_total_demand,positive_months,positive_months_last12,positive_blocks_last18,months_since_positive,positive_mean,positive_median,positive_cv2,average_demand_interval,recent_3m_total,recent_6m_total,recent_12m_total,recent_vs_prior_6m_ratio,stock_observation_share,potential_stock_constraint_share,trailing_12m_units,trailing_12m_value,FAMILY_DESCRIPTION,SUBFAMILY_DESCRIPTION,MATERIAL_DESCRIPTION,Brand,Channel,REGION,lifecycle_tier,frequency_tier,recency_tier,size_tier,potential_stock_status,abc_units_tier,abc_value_tier,classification_cutoff,product_master_assumption
84701M55TG0ZHJ,15,8.0,6,5,4,0.0,1.3333333333333333,1.0,0.12500000000000003,2.8,2.0,4.0,7.0,1.25,0.4,,7.0,2518503.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,developing,recurring_4_6,recent_0_2,mostly_single_unit,stock_generally_available,B,A,2024-07-01,True
84701M56R50ZHJ,43,109.0,37,9,6,0.0,2.945945945945946,2.0,0.4979378840164969,1.1666666666666667,3.0,9.0,17.0,1.1111111111111112,0.8604651162790697,,17.0,4037734.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO DER BLANCO GL/GLX SZK DZIRE A2N,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,A,2024-07-01,True
84701M67P30000,43,61.0,21,1,1,0.0,2.9047619047619047,2.0,0.6423004568664336,2.1,11.0,11.0,11.0,12.0,0.4883720930232558,,11.0,1134111.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,established,rare_0_1,recent_0_2,multi_unit_stable,stock_generally_available,A,A,2024-07-01,True
84701M68K1026U,43,195.0,36,7,6,1.0,5.416666666666667,5.0,0.513846153846154,1.1714285714285715,5.0,7.0,14.0,1.0,0.8372093023255814,,14.0,1924174.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,A,2024-07-01,True
84701M79G30000,43,237.0,32,5,5,3.0,7.40625,3.5,1.0970998237461946,1.2580645161290323,0.0,4.0,8.0,1.0,0.813953488372093,1.0,8.0,494804.0,CARROCERIA,IMPACTO PRIMARIO,(PE) ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_3_5,volatile_positive_size,potentially_stock_constrained,A,B,2024-07-01,True
84701M80TA05PK,1,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,94062.0,CARROCERIA,IMPACTO PRIMARIO B,ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,new,rare_0_1,recent_0_2,mostly_single_unit,stock_generally_available,C,C,2024-07-01,True
84701M80TJ0WB3,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO B,ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
84701M84330000,43,337.0,33,3,4,0.0,10.212121212121213,6.0,0.8012573853780519,1.3125,7.0,7.0,10.0,2.0,0.7674418604651163,,10.0,81969.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO RETROVISOR DE,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,C,2024-07-01,True
8470277A005PK,43,35.0,16,1,1,6.0,2.1875,1.5,0.6587755102040818,2.4,0.0,0.0,1.0,0.5,0.37209302325581395,,1.0,68532.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO EXT IZQ.,SUZUKI,DISTRIBUTION,AMERICAS,established,rare_0_1,stale_6_11,multi_unit_stable,stock_generally_available,C,C,2024-07-01,True
8470281A215PK,36,3.0,2,1,1,2.0,1.5,1.5,0.1111111111111111,33.0,2.0,2.0,2.0,3.0,0.05555555555555555,,2.0,901496.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO EXT IZQ,SUZUKI,DISTRIBUTION,AMERICAS,established,rare_0_1,recent_0_2,multi_unit_stable,stock_data_limited,C,B,2024-07-01,True
