candidate_id,config_id,temperature,decay,shrink,neighbor_weight,top_k,memory_weight,shift_threshold,shift_decay,neighbors,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
temp1.00__decay0.50__shrink6.0__peer0.00__top4__memory0.75,temp1.00__decay0.50__shrink6.0__peer0.00__top4__memory0.75,1.0,0.5,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,81.48518466638701,100.96348592576808,0.30968067184407905,83.753321034741,139.0,125.90524667299206,-9.420685846768299,9.420685846768299
temp6.00__decay1.00__shrink2.0__peer0.35__top2__memory1.00,temp6.00__decay1.00__shrink2.0__peer0.35__top2__memory1.00,6.0,1.0,2.0,0.35,2.0,1.0,0.75,0.25,12,35,35,6,12,25,83.80984673722587,111.76420658833224,0.31120925695856516,83.37965714443662,139.0,123.94949124701687,-10.827704138836788,10.827704138836788
temp3.00__decay1.00__shrink2.0__peer0.35__top2__memory1.00,temp3.00__decay1.00__shrink2.0__peer0.35__top2__memory1.00,3.0,1.0,2.0,0.35,2.0,1.0,0.75,0.25,12,35,35,6,12,25,83.81837816696542,111.75504592779723,0.31120925695856516,83.37633123823711,139.0,123.94149174428438,-10.83345917677383,10.83345917677383
temp1.00__decay1.00__shrink2.0__peer0.35__top2__memory1.00,temp1.00__decay1.00__shrink2.0__peer0.35__top2__memory1.00,1.0,1.0,2.0,0.35,2.0,1.0,0.75,0.25,12,35,35,6,12,25,83.82406599611893,111.74893874984375,0.31120925695856516,83.37410824492599,139.0,123.93615026189235,-10.837301969861619,10.837301969861619
temp6.00__decay0.50__shrink6.0__peer0.00__topall__memory0.50,temp6.00__decay0.50__shrink6.0__peer0.00__topall__memory0.50,6.0,0.5,6.0,0.0,,0.5,0.75,0.25,12,35,35,6,12,24,81.69355086172389,116.49208990241897,0.3437348226572059,86.68290527959556,139.0,138.31009805505838,-0.4963323344903772,0.4963323344903772
temp6.00__decay0.50__shrink6.0__peer0.35__topall__memory0.50,temp6.00__decay0.50__shrink6.0__peer0.35__topall__memory0.50,6.0,0.5,6.0,0.35,,0.5,0.75,0.25,12,35,35,6,12,24,81.88986454546595,115.90325532197656,0.34732491839631296,86.62772240546965,139.0,138.61183278419975,-0.27925698978435365,0.27925698978435365
temp6.00__decay0.50__shrink2.0__peer0.35__top4__memory0.75,temp6.00__decay0.50__shrink2.0__peer0.35__top4__memory0.75,6.0,0.5,2.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,24,82.26594085893237,111.838359871846,0.3189748181953457,85.71510051552617,139.0,131.42205155473573,-5.4517614714131435,5.4517614714131435
temp3.00__decay0.50__shrink2.0__peer0.35__top4__memory0.75,temp3.00__decay0.50__shrink2.0__peer0.35__top4__memory0.75,3.0,0.5,2.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,24,82.4704547832334,112.15517663202469,0.3194746575366969,85.79606941625137,139.0,131.66976950497246,-5.273547118724846,5.273547118724846
temp3.00__decay0.50__shrink6.0__peer0.00__topall__memory0.75,temp3.00__decay0.50__shrink6.0__peer0.00__topall__memory0.75,3.0,0.5,6.0,0.0,,0.75,0.75,0.25,12,35,35,6,12,24,82.50390270798584,116.4053847509921,0.34821888333566187,86.94932412017401,139.0,138.77096967710793,-0.16477001646911657,0.16477001646911657
temp6.00__decay0.80__shrink6.0__peer0.35__topall__memory0.50,temp6.00__decay0.80__shrink6.0__peer0.35__topall__memory0.50,6.0,0.8,6.0,0.35,,0.5,0.75,0.25,12,35,35,6,12,24,82.56744138187635,115.78027680470176,0.3470245779454328,86.81795046027199,139.0,138.82141918732222,-0.1284754048041579,0.1284754048041579
temp6.00__decay0.80__shrink6.0__peer0.00__topall__memory0.50,temp6.00__decay0.80__shrink6.0__peer0.00__topall__memory0.50,6.0,0.8,6.0,0.0,,0.5,0.75,0.25,12,35,35,6,12,24,82.59365197956883,116.47629652062338,0.34467045853449657,86.85610444129927,139.0,138.43786285572614,-0.40441521170781447,0.40441521170781447
temp1.00__decay0.50__shrink2.0__peer0.35__top4__memory0.75,temp1.00__decay0.50__shrink2.0__peer0.35__top4__memory0.75,1.0,0.5,2.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,24,82.60721047970378,112.36272333830814,0.3197973046971558,85.84340897652693,139.0,131.845096079357,-5.147412892548917,5.147412892548917
temp3.00__decay0.50__shrink6.0__peer0.35__topall__memory0.75,temp3.00__decay0.50__shrink6.0__peer0.35__topall__memory0.75,3.0,0.5,6.0,0.35,,0.75,0.75,0.25,12,35,35,6,12,24,82.6601041989189,115.63419868373074,0.34877005625425045,86.83598104238052,139.0,139.1995840030184,0.14358561368230308,0.14358561368230308
temp6.00__decay0.80__shrink2.0__peer0.35__topall__memory0.50,temp6.00__decay0.80__shrink2.0__peer0.35__topall__memory0.50,6.0,0.8,2.0,0.35,,0.5,0.75,0.25,12,35,35,6,12,24,82.68369713484705,114.64768207154111,0.3470875447759862,87.0500274617778,139.0,138.94930763181188,-0.03646932963174337,0.03646932963174337
temp6.00__decay1.00__shrink6.0__peer0.35__topall__memory0.50,temp6.00__decay1.00__shrink6.0__peer0.35__topall__memory0.50,6.0,1.0,6.0,0.35,,0.5,0.75,0.25,12,35,35,6,12,24,82.97157960188369,115.72245930034244,0.34693136380147016,86.92361295021931,139.0,138.94833560046374,-0.03716863275990232,0.03716863275990232
temp6.00__decay1.00__shrink6.0__peer0.00__topall__memory0.50,temp6.00__decay1.00__shrink6.0__peer0.00__topall__memory0.50,6.0,1.0,6.0,0.0,,0.5,0.75,0.25,12,35,35,6,12,24,83.1565424871726,116.48124624420143,0.3454431916215531,86.96618240077517,139.0,138.54398294991125,-0.32806982020773134,0.32806982020773134
temp6.00__decay1.00__shrink2.0__peer0.35__topall__memory0.50,temp6.00__decay1.00__shrink2.0__peer0.35__topall__memory0.50,6.0,1.0,2.0,0.35,,0.5,0.75,0.25,12,35,35,6,12,24,83.24151231446942,114.76238031315893,0.3470090344729699,87.18903375999471,139.0,139.08354738701266,0.060106033822055926,0.060106033822055926
temp3.00__decay0.80__shrink6.0__peer0.35__topall__memory0.75,temp3.00__decay0.80__shrink6.0__peer0.35__topall__memory0.75,3.0,0.8,6.0,0.35,,0.75,0.75,0.25,12,35,35,6,12,24,83.26425308348938,115.51680295813372,0.34849742294047137,87.01464721528953,139.0,139.4039920298573,0.2906417480987817,0.2906417480987817
temp3.00__decay0.80__shrink6.0__peer0.00__topall__memory0.75,temp3.00__decay0.80__shrink6.0__peer0.00__topall__memory0.75,3.0,0.8,6.0,0.0,,0.75,0.75,0.25,12,35,35,6,12,24,83.31891388245585,116.1394709995649,0.34769899299924667,87.13605798516566,139.0,138.8803052837046,-0.08611130668734761,0.08611130668734761
temp3.00__decay0.50__shrink2.0__peer0.00__topall__memory0.50,temp3.00__decay0.50__shrink2.0__peer0.00__topall__memory0.50,3.0,0.5,2.0,0.0,,0.5,0.75,0.25,12,35,35,6,12,24,83.36071359118333,116.45457827959677,0.34799846909284327,87.38574182378599,139.0,140.41033747662405,1.014631278146799,1.014631278146799
temp3.00__decay0.80__shrink2.0__peer0.35__topall__memory0.75,temp3.00__decay0.80__shrink2.0__peer0.35__topall__memory0.75,3.0,0.8,2.0,0.35,,0.75,0.75,0.25,12,35,35,6,12,24,83.38472278465987,114.59039594502165,0.3487894424963877,87.37502305421646,139.0,138.98987953494682,-0.0072809101101992705,0.0072809101101992705
temp3.00__decay1.00__shrink2.0__peer0.35__topall__memory0.75,temp3.00__decay1.00__shrink2.0__peer0.35__topall__memory0.75,3.0,1.0,2.0,0.35,,0.75,0.75,0.25,12,35,35,6,12,24,83.39637816350962,114.66905174061338,0.34866278526582123,87.50289351437597,139.0,139.0957013073898,0.06884986143150239,0.06884986143150239
